onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.01669	1.457	FoodChoice	0.9266669999999997	1.138384	2.5166665000000004	2.98	2.0533330000000003	1.0
7.516603	1.457	FoodChoice	0.0	2.281484	2.02	2.02	2.02	1.0
16.51654	1.457	FoodChoice	0.0	1.072538	1.053333	1.053333	1.053333	0.0
22.516560000000002	1.457	FoodChoice	0.9666669999999997	2.346518	2.5033335	2.9866669999999997	2.02	1.0
29.51665	1.457	FoodChoice	-0.013333999999999513	1.848434	2.02	2.0133330000000003	2.0266669999999998	1.0
39.01657	1.457	FoodChoice	1.9200000000000004	1.069509	1.053333	2.0133330000000003	0.093333	1.0
44.01655	1.457	FoodChoice	0.953334	0.910533	0.5700000000000001	1.046667	0.093333	1.0
48.0166	1.457	FoodChoice	0.96	2.094477	2.5	2.98	2.02	1.0
58.01659	1.457	FoodChoice	0.0066669999999997565	2.536493	2.9833334999999996	2.9866669999999997	2.98	0.0
68.01663	3.0	Missed	0.0	n/a	2.98	2.98	2.98	n/a
73.01663	1.457	FoodChoice	0.0066669999999999785	1.212451	1.0633335000000002	1.066667	1.06	1.0
79.51663	1.457	FoodChoice	-0.006666000000000505	1.348442	2.99	2.9866669999999997	2.9933330000000002	1.0
84.01666999999999	1.457	FoodChoice	0.013333000000000012	1.4674120000000002	0.0933335	0.1	0.086667	1.0
97.51663	1.457	FoodChoice	0.0	1.419446	0.08	0.08	0.08	1.0
102.0167	1.457	FoodChoice	0.0	1.4383920000000001	2.0133330000000003	2.0133330000000003	2.0133330000000003	1.0
106.0167	1.457	FoodChoice	0.0	2.7924	1.06	1.06	1.06	1.0
117.0166	1.457	FoodChoice	0.0	2.0194349999999996	2.02	2.02	2.02	1.0
122.0166	1.457	FoodChoice	-0.020000000000000018	1.000518	1.516667	1.506667	1.526667	1.0
128.0167	1.457	FoodChoice	0.9466669999999997	1.587391	2.4933335	2.9666669999999997	2.02	1.0
134.0166	1.457	FoodChoice	-0.9866660000000003	1.362485	1.56	1.066667	2.0533330000000003	0.0
140.5167	1.457	FoodChoice	0.013333000000000261	2.057357	2.9866665	2.9933330000000002	2.98	0.0
144.5166	1.457	FoodChoice	0.0066669999999997565	1.487441	2.0166665000000004	2.02	2.0133330000000003	0.0
153.5167	1.457	FoodChoice	0.966666	0.86639	0.5700000000000001	1.053333	0.086667	1.0
157.5167	1.457	FoodChoice	-0.006666999999999992	1.206352	0.0833335	0.08	0.086667	1.0
161.5167	1.457	FoodChoice	1.506667	0.9883850000000001	2.2266665	2.98	1.473333	1.0
168.0167	1.457	FoodChoice	0.0066669999999997565	1.50439	2.0233334999999997	2.0266669999999998	2.02	1.0
174.0167	1.457	FoodChoice	-0.020000000000000018	1.391393	1.51	1.5	1.52	0.0
180.0167	1.457	FoodChoice	-0.4333339999999999	1.580374	1.29	1.073333	1.506667	0.0
185.5167	1.457	FoodChoice	0.0	1.6753900000000002	2.02	2.02	2.02	0.0
191.5167	1.457	FoodChoice	0.9666669999999999	1.9884169999999999	1.5366665	2.02	1.053333	1.0
195.5166	1.457	FoodChoice	-0.0066669999999999785	2.604485	1.0633335000000002	1.06	1.066667	0.0
201.5165	1.457	FoodChoice	-0.08666700000000005	1.351531	1.5633335000000002	1.52	1.606667	1.0
206.5166	1.457	FoodChoice	0.0	1.215492	2.02	2.02	2.02	0.0
211.5166	1.457	FoodChoice	-0.946667	1.387483	0.5733335	0.1	1.046667	0.0
216.0166	1.457	FoodChoice	-0.9666669999999997	1.283449	1.5433335	1.06	2.0266669999999998	0.0
220.0166	1.457	FoodChoice	0.0	2.2285150000000002	2.0133330000000003	2.0133330000000003	2.0133330000000003	1.0
226.0166	1.457	FoodChoice	-0.973333	1.8094729999999999	0.5733335	0.086667	1.06	0.0
230.5167	1.457	FoodChoice	0.0066669999999999785	1.9484	1.5233335000000001	1.526667	1.52	1.0
237.0167	1.457	FoodChoice	-0.006667000000000006	2.202412	0.0966665	0.093333	0.1	1.0
241.0167	1.457	FoodChoice	-1.506667	1.266392	0.7666665	0.013333000000000001	1.52	0.0
245.0167	1.457	FoodChoice	-0.4199999999999997	1.148414	1.7966669999999998	1.586667	2.0066669999999998	0.0
251.5167	1.457	FoodChoice	-0.0066669999999997565	2.328391	2.0233334999999997	2.02	2.0266669999999998	0.0
255.5167	1.457	FoodChoice	0.066667	1.819391	0.0466665	0.08	0.013333000000000001	0.0
264.0166	1.457	FoodChoice	0.9399999999999997	1.600524	1.536667	2.0066669999999998	1.066667	1.0
268.0166	1.457	FoodChoice	0.0	2.186459	2.0333330000000003	2.0333330000000003	2.0333330000000003	0.0
273.5166	1.457	FoodChoice	-0.43333299999999997	2.044436	1.2833335	1.066667	1.5	0.0
279.0167	1.457	FoodChoice	-0.08666700000000001	2.500388	0.0566665	0.013333000000000001	0.1	1.0
283.5167	1.457	FoodChoice	0.0	1.252399	1.053333	1.053333	1.053333	1.0
288.5166	1.457	FoodChoice	0.0	1.629474	1.06	1.06	1.06	0.0
293.0167	1.457	FoodChoice	-0.006666000000000005	1.797389	0.09	0.086667	0.093333	1.0
297.5167	1.457	FoodChoice	0.066667	1.140385	0.0466665	0.08	0.013333000000000001	0.0
302.5166	1.457	FoodChoice	-0.3999999999999997	1.672436	1.806667	1.606667	2.0066669999999998	1.0
306.5165	1.457	FoodChoice	0.09333300000000011	1.7205270000000001	1.5733335	1.62	1.526667	0.0
312.0167	1.457	FoodChoice	0.40666599999999997	1.17439	1.27	1.473333	1.066667	1.0
316.5167	1.457	FoodChoice	-0.006666000000000505	1.152374	2.01	2.0066669999999998	2.0133330000000003	1.0
323.0167	3.0	Missed	0.020000000000000018	n/a	2.976667	2.9866669999999997	2.9666669999999997	n/a
328.5167	1.457	FoodChoice	0.0	1.494392	2.0133330000000003	2.0133330000000003	2.0133330000000003	1.0
333.0166	1.457	FoodChoice	0.0	1.276528	2.02	2.02	2.02	1.0
338.0166	1.457	FoodChoice	0.3999999999999999	1.43646	1.273333	1.473333	1.073333	1.0
342.5167	1.457	FoodChoice	0.09333300000000011	2.116378	1.5733335	1.62	1.526667	0.0
351.0166	1.457	FoodChoice	-0.966667	1.131516	0.5766665	0.093333	1.06	0.0
357.0165	1.457	FoodChoice	-0.96	1.1445290000000001	2.5	2.02	2.98	0.0
361.5166	1.457	FoodChoice	0.9666660000000002	1.5794860000000002	1.5500000000000003	2.0333330000000003	1.066667	1.0
367.5166	1.457	FoodChoice	0.013333000000000012	1.4174930000000001	0.0933335	0.1	0.086667	1.0
371.5166	1.457	FoodChoice	0.0	2.155441	2.98	2.98	2.98	1.0
375.5166	1.457	FoodChoice	-0.0066669999999999785	1.232493	1.5033335	1.5	1.506667	0.0
387.5167	1.457	FoodChoice	0.38666699999999965	1.443391	1.8133335	2.0066669999999998	1.62	1.0
398.0167	1.457	FoodChoice	-0.013333000000000261	1.270402	2.0266665	2.02	2.0333330000000003	0.0
404.5167	1.457	FoodChoice	0.0	1.786405	2.0133330000000003	2.0133330000000003	2.0133330000000003	1.0
419.0167	1.457	FoodChoice	0.0	1.885358	2.02	2.02	2.02	0.0
