onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0167330000000003	1.255	FalseAlarm	n/a	1.0590000000000002	1	0	0.0
11.01673	1.255	Hit	9.977778	0.882	1	1	0.0
16.01669	1.255	CorrectRejection	n/a	0.9109999999999999	1	0	1.0
24.01675	1.255	CorrectRejection	n/a	1.199	1	0	1.0
32.516729999999995	1.255	Hit	9.088889	1.258	1	1	0.0
39.01675	1.255	CorrectRejection	n/a	0.862	1	0	1.0
43.516740000000006	1.255	Miss	2.666667	0.958	1	1	1.0
48.51675	1.255	CorrectRejection	n/a	0.888	1	0	1.0
53.0168	1.255	CorrectRejection	n/a	0.825	1	0	1.0
58.51673	1.255	Hit	6.111111	0.848	1	1	0.0
65.51673000000001	1.255	Miss	2.644444	1.063	1	1	1.0
72.01671999999999	1.255	Hit	1.6	1.023	1	1	0.0
82.01671	1.255	CorrectRejection	n/a	1.026	1	0	1.0
92.01673000000001	1.255	CorrectRejection	n/a	0.98	1	0	1.0
97.51675	1.255	CorrectRejection	n/a	0.868	1	0	1.0
103.0167	1.255	Hit	4.2	1.306	1	1	0.0
107.0167	1.255	CorrectRejection	n/a	1.0090000000000001	1	0	1.0
113.5168	1.255	Hit	1.844444	1.041	1	1	0.0
117.5167	1.255	Hit	5.6	0.873	1	1	0.0
125.0167	1.255	Hit	5.6	1.3159999999999998	1	1	0.0
129.0167	1.255	FalseAlarm	n/a	2.218	1	0	0.0
133.0167	1.255	Hit	6.355556	0.83	1	1	0.0
139.0167	1.255	CorrectRejection	n/a	1.193	1	0	1.0
144.0167	1.255	CorrectRejection	n/a	0.7759999999999999	1	0	1.0
151.5167	1.255	CorrectRejection	n/a	1.022	1	0	1.0
156.0167	1.255	Hit	6.733333	0.915	1	1	0.0
162.5167	1.255	CorrectRejection	n/a	0.917	1	0	1.0
168.0167	1.255	CorrectRejection	n/a	1.166	1	0	1.0
174.0167	1.255	FalseAlarm	n/a	1.376	1	0	0.0
179.5167	1.255	CorrectRejection	n/a	1.75	1	0	1.0
183.5167	1.255	Hit	0.866667	1.056	1	1	0.0
189.5167	1.255	Hit	0.533333	0.99	1	1	0.0
198.0167	1.255	Hit	0.733333	0.937	1	1	0.0
202.0167	1.255	Hit	7.555556	0.8170000000000001	1	1	0.0
215.0167	1.255	Hit	1.822222	1.175	1	1	0.0
219.5167	1.255	Miss	2.911111	0.9440000000000001	1	1	1.0
223.5167	1.255	CorrectRejection	n/a	0.8140000000000001	1	0	1.0
227.5167	1.255	CorrectRejection	n/a	1.125	1	0	1.0
231.5167	1.255	CorrectRejection	n/a	0.84	1	0	1.0
238.0167	1.255	CorrectRejection	n/a	0.753	1	0	1.0
242.0167	1.255	CorrectRejection	n/a	1.32	1	0	1.0
247.0167	1.255	Miss	7.6666669999999995	1.158	1	1	1.0
253.0166	1.255	CorrectRejection	n/a	1.284	1	0	1.0
259.5167	1.255	Hit	1.3111110000000001	1.079	1	1	0.0
269.5167	1.255	FalseAlarm	n/a	1.012	1	0	0.0
274.0167	1.255	Hit	5.4222220000000005	1.655	1	1	0.0
280.5167	1.255	Hit	9.911111	0.773	1	1	0.0
286.0167	1.255	Hit	0.8222219999999999	1.183	1	1	0.0
290.5167	1.255	Hit	4.933333	1.236	1	1	0.0
296.0168	1.255	CorrectRejection	n/a	1.3219999999999998	1	0	1.0
