onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.049872	1.064	ColorDots	0.0	1.376231	2	0.0
10.134343	1.064	ColorDots	-0.25	1.114759	2	0.0
14.216626000000002	1.064	ColorDots	-0.5	1.080473	2	0.0
19.800006	1.064	ColorDots	2.0	0.653046	2	1.0
23.884455	1.064	ColorDots	0.0	0.895645	2	1.0
28.966586	1.064	ColorDots	-1.0	0.715493	2	0.0
34.533209	1.064	ColorDots	-0.25	1.481861	2	1.0
38.117739	1.064	ColorDots	2.0	0.579354	2	1.0
42.19988	1.064	ColorDots	0.0	1.331194	2	0.0
47.766543	1.064	ColorDots	-0.5	0.922449	2	0.0
54.85004	1.064	ColorDots	0.25	0.995034	2	1.0
58.433223999999996	1.064	ColorDots	0.0	0.620853	2	1.0
62.019369	1.064	ColorDots	0.0	1.8657279999999998	2	0.0
72.583209	1.064	ColorDots	-0.125	1.554892	2	0.0
81.65000500000001	1.064	ColorDots	2.0	0.583993	2	1.0
88.216622	1.064	ColorDots	1.0	0.61848	2	1.0
96.783345	1.064	ColorDots	0.25	1.352727	2	1.0
102.366665	1.064	ColorDots	0.5	0.962411	2	1.0
105.93432	1.064	ColorDots	0.25	1.251744	2	1.0
110.51781499999998	1.064	ColorDots	-0.25	1.492243	2	0.0
114.583219	1.064	ColorDots	-2.0	0.653895	2	0.0
119.650044	1.064	ColorDots	0.0	1.185057	2	1.0
123.233223	1.064	ColorDots	-2.0	0.63888	2	0.0
128.817815	1.064	ColorDots	1.0	0.622287	2	1.0
132.899972	1.064	ColorDots	-2.0	0.578136	2	0.0
137.483321	1.064	ColorDots	-1.0	0.908781	2	0.0
141.549869	1.064	ColorDots	0.125	1.020108	2	0.0
145.633253	1.064	ColorDots	-2.0	0.551854	2	0.0
149.216724	1.064	ColorDots	0.5	1.332379	2	1.0
153.300073	1.064	ColorDots	0.0	1.231003	2	1.0
157.88321100000002	1.064	ColorDots	2.0	0.556888	2	1.0
163.46654099999998	1.064	ColorDots	-0.25	1.276557	2	1.0
168.050043	1.064	ColorDots	-1.0	0.798057	2	0.0
176.63320900000002	1.064	ColorDots	0.5	1.117794	2	1.0
181.216801	1.064	ColorDots	-0.125	1.096301	2	0.0
193.299968	1.064	ColorDots	-1.0	0.692076	2	0.0
197.38446100000002	1.064	ColorDots	0.0	1.026637	2	0.0
202.966693	1.064	ColorDots	-0.125	0.8784049999999999	2	0.0
208.051173	1.064	ColorDots	0.0	1.519898	2	1.0
215.63328700000002	1.064	ColorDots	-2.0	0.612813	2	0.0
223.216628	1.064	ColorDots	-0.125	1.01447	2	0.0
226.80005400000002	1.064	ColorDots	0.125	0.688048	2	1.0
232.366623	1.064	ColorDots	0.0	1.629457	2	1.0
236.45007200000003	1.064	ColorDots	-1.0	0.6920310000000001	2	0.0
242.016523	1.064	ColorDots	0.0	1.516576	2	0.0
246.100036	1.064	ColorDots	-0.25	1.100962	2	1.0
254.166542	1.064	ColorDots	0.25	1.22053	2	1.0
264.23445699999996	1.064	ColorDots	-2.0	1.315575	2	0.0
271.800026	1.064	ColorDots	0.0	1.044078	2	0.0
275.866567	1.064	ColorDots	2.0	0.6245350000000001	2	1.0
281.416493	1.064	ColorDots	1.0	0.726577	2	1.0
285.00111400000003	1.064	ColorDots	-0.25	0.6949850000000001	2	0.0
291.083212	1.064	ColorDots	0.0	1.309892	2	0.0
294.666682	1.064	ColorDots	2.0	0.6074189999999999	2	1.0
301.234454	1.064	ColorDots	-1.0	0.684579	2	0.0
307.31665499999997	1.064	ColorDots	-0.125	0.735448	2	0.0
313.38321	1.064	ColorDots	0.25	1.279888	2	1.0
316.966682	1.064	ColorDots	0.0	1.0123149999999999	2	0.0
320.551229	1.064	ColorDots	0.0	1.5308709999999999	2	1.0
328.133275	1.064	ColorDots	0.25	1.173828	2	1.0
334.200051	1.064	ColorDots	-0.125	0.69902	2	1.0
342.283215	1.064	ColorDots	1.0	1.2768899999999999	2	1.0
348.851319	1.064	ColorDots	0.125	1.226779	2	1.0
355.916728	1.064	ColorDots	-0.125	1.42937	2	1.0
360.99987200000004	1.064	ColorDots	0.5	1.02823	2	1.0
364.583362	1.064	ColorDots	0.125	1.2017360000000001	2	1.0
368.166669	1.064	ColorDots	0.0	1.509434	2	1.0
376.751274	1.064	ColorDots	-2.0	0.5768	2	0.0
382.83336099999997	1.064	ColorDots	0.5	1.296714	2	1.0
392.416687	1.064	ColorDots	2.0	0.8823840000000001	2	1.0
