onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0165290000000002	1.255	Hit	5.2	1.6440000000000001	1	1	0.0
11.01657	1.255	Hit	5.155556	1.538	1	1	0.0
16.01662	1.255	CorrectRejection	n/a	1.756	1	0	1.0
24.0167	1.255	CorrectRejection	n/a	1.273	1	0	1.0
32.51667	1.255	CorrectRejection	n/a	1.137	1	0	1.0
39.016709999999996	1.255	CorrectRejection	n/a	0.8440000000000001	1	0	1.0
43.516709999999996	1.255	Hit	5.155556	0.785	1	1	0.0
48.51665	1.255	Hit	4.4222220000000005	0.9490000000000001	1	1	0.0
53.01665	3.0	Missed	5.466667	n/a	1	1	n/a
58.51665	1.255	Hit	5.377778	0.7929999999999999	1	1	0.0
65.51666999999999	1.255	CorrectRejection	n/a	0.97	1	0	1.0
72.01664	1.255	Hit	7.088889	1.536	1	1	0.0
82.01666999999999	1.255	Hit	6.844444	1.0290000000000001	1	1	0.0
92.01657	1.255	Hit	5.177778	0.9009999999999999	1	1	0.0
97.51666999999999	1.255	CorrectRejection	n/a	1.409	1	0	1.0
103.0167	1.255	Hit	5.8	1.2229999999999999	1	1	0.0
107.0167	1.255	CorrectRejection	n/a	0.9620000000000001	1	0	1.0
113.5167	1.255	Hit	5.488889	1.234	1	1	0.0
117.5166	1.255	Miss	4.933333	1.2229999999999999	1	1	1.0
125.0166	1.255	CorrectRejection	n/a	0.983	1	0	1.0
129.0167	1.255	Hit	4.955556	0.677	1	1	0.0
133.0166	1.255	CorrectRejection	n/a	1.107	1	0	1.0
139.0167	1.255	Hit	7.022222	0.861	1	1	0.0
144.0167	1.255	Hit	4.977778	1.1520000000000001	1	1	0.0
151.5166	1.255	CorrectRejection	n/a	0.9390000000000001	1	0	1.0
156.0166	1.255	CorrectRejection	n/a	1.02	1	0	1.0
162.5166	1.255	CorrectRejection	n/a	1.018	1	0	1.0
168.0166	1.255	Hit	4.6666669999999995	0.8029999999999999	1	1	0.0
174.0166	1.255	Hit	4.933333	1.357	1	1	0.0
179.5167	1.255	CorrectRejection	n/a	1.2209999999999999	1	0	1.0
183.5167	1.255	CorrectRejection	n/a	1.24	1	0	1.0
189.5167	1.255	CorrectRejection	n/a	1.001	1	0	1.0
198.0165	1.255	FalseAlarm	n/a	0.9329999999999999	1	0	0.0
202.0167	1.255	Hit	6.844444	2.175	1	1	0.0
215.0166	1.255	Hit	7.466667	1.636	1	1	0.0
219.5167	1.255	FalseAlarm	n/a	1.2	1	0	0.0
223.5167	1.255	Hit	7.466667	1.389	1	1	0.0
227.5167	1.255	Hit	5.4222220000000005	0.9440000000000001	1	1	0.0
231.5167	1.255	Hit	8.777778	0.6709999999999999	1	1	0.0
238.0166	1.255	Hit	5.955556	0.889	1	1	0.0
242.0167	1.255	CorrectRejection	n/a	0.8690000000000001	1	0	1.0
247.0167	1.255	CorrectRejection	n/a	1.035	1	0	1.0
253.0165	1.255	Hit	6.088889	1.287	1	1	0.0
259.5166	1.255	FalseAlarm	n/a	1.0290000000000001	1	0	0.0
269.5165	1.255	CorrectRejection	n/a	1.371	1	0	1.0
274.0166	1.255	CorrectRejection	n/a	1.5190000000000001	1	0	1.0
280.5166	1.255	CorrectRejection	n/a	1.883	1	0	1.0
286.0166	1.255	FalseAlarm	n/a	1.5119999999999998	1	0	0.0
290.5165	1.255	Hit	6.888889	1.3969999999999998	1	1	0.0
296.0166	1.255	Hit	5.2444440000000005	0.778	1	1	0.0
