onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.016595	1.457	FoodChoice	0.14666699999999988	2.3789	2.5333335	2.606667	2.46	0.0
7.516547999999999	1.457	FoodChoice	0.0	2.0209479999999997	1.8666669999999999	1.8666669999999999	1.8666669999999999	1.0
16.51655	3.0	Missed	-0.10666599999999998	n/a	0.43999999999999995	0.386667	0.49333299999999997	n/a
22.51655	1.457	FoodChoice	0.6000000000000001	0.745957	2.3666669999999996	2.666667	2.066667	1.0
29.51662	1.457	FoodChoice	-0.32666600000000057	0.8958879999999999	1.9300000000000002	1.7666669999999998	2.0933330000000003	1.0
39.01663	1.457	FoodChoice	1.46	1.126889	0.99	1.72	0.26	1.0
44.01665	1.457	FoodChoice	0.07333400000000001	1.403861	0.31	0.346667	0.273333	1.0
48.01661	1.457	FoodChoice	0.5866669999999998	0.9868959999999999	2.3066665000000004	2.6	2.0133330000000003	0.0
58.016619999999996	1.457	FoodChoice	0.06666699999999981	0.828894	2.6333335	2.666667	2.6	1.0
68.01661	1.457	FoodChoice	0.0066669999999997565	1.3038969999999999	2.6033334999999997	2.606667	2.6	0.0
73.01673000000001	1.457	FoodChoice	0.146667	1.591781	0.8733335	0.946667	0.8	1.0
79.51661999999999	1.457	FoodChoice	-0.09333299999999989	1.016879	2.7133335	2.666667	2.76	1.0
84.01666	1.457	FoodChoice	0.24	1.345833	0.213333	0.333333	0.093333	1.0
97.51659000000001	1.457	FoodChoice	-0.039999999999999994	2.685922	0.04	0.02	0.06	0.0
102.0166	1.457	FoodChoice	0.013333000000000261	1.131917	1.7733335	1.78	1.7666669999999998	1.0
106.0167	1.457	FoodChoice	-0.07333400000000001	1.4068450000000001	0.59	0.553333	0.626667	1.0
117.0166	1.457	FoodChoice	-0.15999999999999992	1.180876	1.9666669999999997	1.8866669999999999	2.046667	0.0
122.0167	1.457	FoodChoice	-0.24666600000000005	1.46586	1.29	1.166667	1.413333	0.0
128.0167	1.457	FoodChoice	0.5133339999999995	2.48786	2.21	2.4666669999999997	1.9533330000000002	1.0
134.0166	1.457	FoodChoice	-1.453333	1.6479009999999998	1.7333335	1.006667	2.46	0.0
