onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0166020000000002	1.255	CorrectRejection	n/a	1.3230000000000002	0	0	0.0
6.516774	1.255	Hit	5.555556	1.253	0	1	1.0
10.516689999999999	1.255	Hit	1.7777779999999999	1.472	0	1	1.0
17.01663	1.255	CorrectRejection	n/a	1.53	0	0	0.0
25.01667	1.255	Hit	6.888889	1.202	0	1	1.0
35.01672	1.255	CorrectRejection	n/a	1.345	0	0	0.0
39.01668	1.255	Hit	6.155556	1.079	0	1	1.0
46.516740000000006	1.255	Hit	4.933333	0.7959999999999999	0	1	1.0
54.01667	1.255	Hit	3.577778	0.7859999999999999	0	1	1.0
58.516769999999994	1.255	Hit	6.866667	0.737	0	1	1.0
63.016740000000006	1.255	CorrectRejection	n/a	0.9790000000000001	0	0	0.0
67.01677	1.255	Hit	2.555556	0.787	0	1	1.0
73.01677	1.255	FalseAlarm	n/a	0.816	0	0	1.0
78.51674	1.255	Hit	6.111111	0.9	0	1	1.0
91.51674	1.255	FalseAlarm	n/a	1.156	0	0	1.0
96.01674	1.255	Hit	7.0	0.878	0	1	1.0
102.5168	1.255	FalseAlarm	n/a	0.812	0	0	1.0
109.0168	1.255	Hit	5.7555559999999995	1.375	0	1	1.0
115.0167	1.255	Miss	2.733333	1.899	0	1	0.0
125.0168	1.255	Hit	2.7555560000000003	0.86	0	1	1.0
131.5168	1.255	Hit	8.022222	1.0979999999999999	0	1	1.0
137.0167	1.255	CorrectRejection	n/a	1.036	0	0	0.0
141.0167	1.255	Hit	6.066667	1.412	0	1	1.0
146.5167	1.255	Hit	5.0	1.0090000000000001	0	1	1.0
153.0168	1.255	Hit	4.955556	0.897	0	1	1.0
158.5167	1.255	Miss	6.266667	1.056	0	1	0.0
163.0168	1.255	FalseAlarm	n/a	1.594	0	0	1.0
171.5166	1.255	CorrectRejection	n/a	0.9520000000000001	0	0	0.0
175.5167	1.255	Hit	4.066667	1.246	0	1	1.0
182.0166	1.255	CorrectRejection	n/a	1.625	0	0	0.0
187.0168	1.255	CorrectRejection	n/a	1.258	0	0	0.0
197.0166	1.255	Miss	0.866667	1.59	0	1	0.0
201.0168	1.255	Hit	1.555556	0.9059999999999999	0	1	1.0
206.0166	1.255	Miss	4.111111	1.219	0	1	0.0
211.5168	1.255	CorrectRejection	n/a	0.9640000000000001	0	0	0.0
217.5167	1.255	CorrectRejection	n/a	1.304	0	0	0.0
223.0167	1.255	CorrectRejection	n/a	0.987	0	0	0.0
227.0166	1.255	Hit	2.1333330000000004	1.308	0	1	1.0
236.0167	1.255	Hit	6.7555559999999995	1.41	0	1	1.0
241.0167	1.255	Hit	5.0	0.96	0	1	1.0
246.5168	1.255	FalseAlarm	n/a	1.4480000000000002	0	0	1.0
250.5167	1.255	CorrectRejection	n/a	1.317	0	0	0.0
254.5168	1.255	CorrectRejection	n/a	1.368	0	0	0.0
263.0167	1.255	FalseAlarm	n/a	0.966	0	0	1.0
269.0166	1.255	CorrectRejection	n/a	1.258	0	0	0.0
275.5166	1.255	CorrectRejection	n/a	1.218	0	0	0.0
282.5167	1.255	CorrectRejection	n/a	1.055	0	0	0.0
287.0168	1.255	CorrectRejection	n/a	1.143	0	0	0.0
291.0167	1.255	Hit	4.022222	1.341	0	1	1.0
296.0168	1.255	CorrectRejection	n/a	0.7879999999999999	0	0	0.0
