onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.050354	1.064	ColorDots	0.0	0.74548	1	1.0
8.133332000000001	1.064	ColorDots	-0.125	0.682584	1	1.0
12.216569	1.064	ColorDots	0.5	0.66025	1	0.0
15.799909	1.064	ColorDots	1.0	0.622025	1	0.0
21.383339000000003	1.064	ColorDots	0.0	0.6385689999999999	1	1.0
26.966707	1.064	ColorDots	2.0	0.491199	1	0.0
32.550024	1.064	ColorDots	-2.0	0.616805	1	0.0
37.63333	1.064	ColorDots	-2.0	0.85661	1	1.0
42.716646999999995	1.064	ColorDots	-1.0	0.513313	1	1.0
46.299964	1.064	ColorDots	0.0	0.9779479999999999	1	1.0
52.366664	1.064	ColorDots	0.0	0.869244	1	1.0
62.916589	1.064	ColorDots	-0.125	0.734246	1	1.0
69.999969	1.064	ColorDots	0.25	1.3648879999999999	1	0.0
73.58320400000001	1.064	ColorDots	-0.5	0.76873	1	1.0
81.149962	1.064	ColorDots	0.0	0.982972	1	1.0
85.733234	1.064	ColorDots	-0.25	0.805705	1	1.0
89.31659300000001	1.064	ColorDots	2.0	0.671325	1	0.0
95.41744	1.064	ColorDots	-0.25	0.704469	1	1.0
100.999974	1.064	ColorDots	1.0	0.7559670000000001	1	0.0
106.583234	1.064	ColorDots	0.0	0.675673	1	1.0
115.16658600000001	1.064	ColorDots	-2.0	0.624347	1	1.0
121.749963	1.064	ColorDots	-1.0	0.534972	1	1.0
127.333275	1.064	ColorDots	-2.0	0.643537	1	1.0
130.89996599999998	1.064	ColorDots	-2.0	0.546972	1	1.0
135.48328700000002	1.064	ColorDots	0.5	0.9426469999999999	1	0.0
139.066706	1.064	ColorDots	-0.25	0.7812020000000001	1	1.0
143.150058	1.064	ColorDots	0.25	0.7108800000000001	1	1.0
146.716638	1.064	ColorDots	-0.125	0.7772939999999999	1	1.0
152.299963	1.064	ColorDots	1.0	0.779944	1	0.0
155.883347	1.064	ColorDots	0.5	0.805588	1	0.0
159.44996799999998	1.064	ColorDots	0.0	0.674938	1	1.0
171.516745	1.064	ColorDots	0.125	0.926167	1	1.0
175.599963	1.064	ColorDots	-0.125	0.647842	1	1.0
179.683387	1.064	ColorDots	1.0	0.712551	1	0.0
184.266751	1.064	ColorDots	1.0	0.6911579999999999	1	0.0
187.833232	1.064	ColorDots	0.0	0.72267	1	1.0
191.91664	1.064	ColorDots	2.0	0.695297	1	0.0
200.499965	1.064	ColorDots	0.0	0.655976	1	1.0
204.083235	1.064	ColorDots	0.0	0.850612	1	1.0
212.149875	1.064	ColorDots	0.125	1.150076	1	0.0
216.23323	1.064	ColorDots	-1.0	0.671706	1	1.0
220.31670499999998	1.064	ColorDots	0.0	0.6602560000000001	1	1.0
223.899967	1.064	ColorDots	-2.0	0.576974	1	1.0
227.98327700000002	1.064	ColorDots	-2.0	0.525575	1	1.0
235.56670400000002	1.064	ColorDots	0.0	1.002212	1	1.0
242.15001400000003	1.064	ColorDots	-2.0	0.6039260000000001	1	1.0
246.233344	1.064	ColorDots	1.0	0.747564	1	0.0
251.816702	1.064	ColorDots	0.0	0.674211	1	1.0
258.899893	1.064	ColorDots	1.0	0.913043	1	0.0
264.483342	1.064	ColorDots	2.0	0.684493	1	0.0
269.56671	1.064	ColorDots	-2.0	0.786122	1	1.0
277.64999	1.064	ColorDots	2.0	0.659917	1	0.0
282.73333199999996	1.064	ColorDots	-0.125	0.650507	1	1.0
291.316702	1.064	ColorDots	0.125	0.750143	1	1.0
295.899966	1.064	ColorDots	2.0	0.623941	1	0.0
305.46664300000003	1.064	ColorDots	2.0	0.7052689999999999	1	0.0
313.04999100000003	1.064	ColorDots	-2.0	0.78794	1	1.0
317.11664	1.064	ColorDots	-0.5	1.047295	1	1.0
323.699967	1.064	ColorDots	-0.25	0.547975	1	1.0
329.266569	1.064	ColorDots	-0.25	0.525343	1	1.0
332.849858	1.064	ColorDots	-0.125	0.930076	1	1.0
340.416563	1.064	ColorDots	1.0	0.8803719999999999	1	0.0
350.499899	1.064	ColorDots	-0.25	0.849035	1	1.0
356.583323	1.064	ColorDots	-1.0	0.599622	1	1.0
360.149962	1.064	ColorDots	-0.125	0.7639729999999999	1	1.0
364.216691	1.064	ColorDots	-0.125	0.555221	1	1.0
372.28328	1.064	ColorDots	-2.0	0.5896710000000001	1	1.0
376.866706	1.064	ColorDots	0.0	1.3422290000000001	1	0.0
385.952723	1.064	ColorDots	0.25	1.28821	1	0.0
390.016684	1.064	ColorDots	0.0	0.8592549999999999	1	1.0
