onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.0166049999999998	1.457	FoodChoice	0.34666700000000006	1.1474440000000001	0.7533335	0.926667	0.58	1.0
6.016562	1.457	FoodChoice	-0.1133329999999999	1.169494	1.5566665	1.5	1.613333	1.0
10.01666	1.457	FoodChoice	-0.0066669999999999785	0.585403	0.9833335	0.98	0.986667	1.0
16.01663	1.457	FoodChoice	0.39333299999999993	1.4434129999999998	1.5033335	1.7	1.306667	0.0
25.01657	1.457	FoodChoice	-0.19999999999999996	0.977474	1.6	1.5	1.7	1.0
29.016609999999996	1.457	FoodChoice	0.5333339999999998	0.593431	1.7599999999999998	2.0266669999999998	1.493333	1.0
34.51664	1.457	FoodChoice	0.07333400000000001	0.421411	1.01	1.046667	0.973333	1.0
41.51667	1.457	FoodChoice	-0.039999999999999925	0.845377	0.5333330000000001	0.513333	0.553333	0.0
56.016580000000005	1.457	FoodChoice	-0.6466670000000001	1.0834629999999998	0.7566665	0.43333299999999997	1.08	1.0
62.016630000000006	1.457	FoodChoice	-0.020000000000000018	1.120416	1.75	1.74	1.76	0.0
66.01649	1.457	FoodChoice	0.03333300000000006	1.000557	0.9566665	0.973333	0.94	1.0
70.01655	1.457	FoodChoice	-0.24	1.609494	1.9066669999999997	1.7866669999999998	2.0266669999999998	0.0
74.51664	1.457	FoodChoice	0.16666700000000007	0.783404	0.4566665	0.54	0.37333299999999997	0.0
81.01653	1.457	FoodChoice	-0.10666700000000007	1.39052	0.9933335	0.94	1.046667	0.0
86.01666999999999	1.457	FoodChoice	0.09333400000000003	0.931375	0.6	0.646667	0.553333	1.0
91.5166	1.457	FoodChoice	-0.573334	0.713434	0.8	0.513333	1.086667	0.0
101.5166	1.457	FoodChoice	0.15333399999999986	1.147476	1.0899999999999999	1.166667	1.013333	0.0
108.0166	1.457	FoodChoice	0.19999999999999996	1.486429	1.6	1.7	1.5	0.0
112.0167	1.457	FoodChoice	0.033333999999999975	1.728379	1.15	1.166667	1.133333	1.0
118.5167	1.457	FoodChoice	-0.01333300000000004	0.835377	1.6933335	1.686667	1.7	1.0
124.0166	1.457	FoodChoice	0.0	1.8085	1.306667	1.306667	1.306667	0.0
130.0165	1.457	FoodChoice	0.006666000000000061	1.2205469999999998	1.17	1.173333	1.166667	1.0
135.0165	1.457	FoodChoice	0.6000000000000001	0.966513	0.973333	1.273333	0.673333	0.0
139.5166	1.457	FoodChoice	-0.033333999999999975	0.7514069999999999	1.15	1.133333	1.166667	1.0
146.0166	1.457	FoodChoice	0.03333300000000006	0.943408	0.9566665	0.973333	0.94	1.0
152.5165	1.457	FoodChoice	-0.13333299999999992	1.178553	1.0666665	1.0	1.133333	0.0
158.0166	1.457	FoodChoice	0.10666600000000015	0.7744310000000001	1.22	1.273333	1.166667	1.0
162.5166	1.457	FoodChoice	-0.4800000000000001	0.680469	1.126667	0.886667	1.366667	0.0
167.5165	1.457	FoodChoice	-0.013333999999999957	1.052503	0.88	0.873333	0.886667	0.0
173.5166	1.457	FoodChoice	-0.06000000000000005	0.647436	1.096667	1.066667	1.126667	0.0
185.5166	1.457	FoodChoice	-0.9866669999999997	1.088431	1.5333335	1.04	2.0266669999999998	1.0
190.5166	1.457	FoodChoice	-0.1933339999999999	1.245496	1.5899999999999999	1.493333	1.686667	0.0
194.5165	1.457	FoodChoice	0.0066669999999999785	1.6195190000000002	0.9833335	0.986667	0.98	0.0
203.0165	1.457	FoodChoice	0.020000000000000018	1.035513	0.876667	0.886667	0.866667	0.0
209.0166	1.457	FoodChoice	-0.3866670000000001	0.924465	1.5466665	1.353333	1.74	1.0
213.5165	1.457	FoodChoice	-0.06666700000000003	0.768509	0.6133335	0.58	0.646667	0.0
223.5165	1.457	FoodChoice	-0.039999999999999925	0.9425120000000001	0.8933329999999999	0.873333	0.913333	1.0
230.0165	1.457	FoodChoice	-0.06000000000000005	1.565519	1.196667	1.166667	1.226667	0.0
234.5167	1.457	FoodChoice	-0.6066669999999998	1.375398	0.8633335	0.56	1.166667	0.0
241.0165	1.457	FoodChoice	0.046665999999999985	1.018507	0.95	0.973333	0.926667	1.0
245.5166	1.457	FoodChoice	0.15333299999999994	1.453401	1.5366665	1.613333	1.46	0.0
254.5165	1.457	FoodChoice	-0.020000000000000018	1.603515	1.01	1.0	1.02	0.0
258.5167	3.0	Missed	-0.0066670000000000895	n/a	0.5566665	0.553333	0.56	n/a
263.0166	1.457	FoodChoice	0.1933339999999999	0.8744120000000001	1.5899999999999999	1.686667	1.493333	1.0
276.5165	1.457	FoodChoice	-0.0333340000000002	0.672515	1.37	1.353333	1.386667	0.0
282.0166	1.457	FoodChoice	0.06000000000000005	0.693459	1.73	1.76	1.7	1.0
288.0166	1.457	FoodChoice	-0.9466669999999997	0.62941	1.4933334999999999	1.02	1.9666669999999997	0.0
292.5167	1.457	FoodChoice	-0.040000000000000036	0.75538	1.153333	1.133333	1.173333	1.0
296.5166	1.457	FoodChoice	0.046667000000000014	0.778438	0.8433335	0.866667	0.82	1.0
305.0165	1.457	FoodChoice	0.7866669999999998	0.617556	1.3933334999999998	1.7866669999999998	1.0	1.0
310.0165	1.457	FoodChoice	-0.48666700000000007	1.056562	1.0633335	0.82	1.306667	1.0
315.5165	1.457	FoodChoice	-0.093333	0.6145520000000001	0.6266665	0.58	0.673333	0.0
321.5165	1.457	FoodChoice	-0.03333300000000006	0.736518	1.0633335000000002	1.046667	1.08	1.0
327.5166	1.457	FoodChoice	-0.006666000000000061	1.063456	1.17	1.166667	1.173333	1.0
332.5166	1.457	FoodChoice	-0.58	1.030469	0.8433329999999999	0.553333	1.133333	0.0
337.5165	1.457	FoodChoice	0.1133329999999999	0.8475159999999999	1.5566665	1.613333	1.5	1.0
341.5166	1.457	FoodChoice	-0.06666700000000003	1.12742	0.6133335	0.58	0.646667	0.0
352.0165	1.457	FoodChoice	0.01333300000000004	1.8955229999999998	1.0066665000000001	1.013333	1.0	1.0
356.0165	1.457	FoodChoice	0.053333000000000075	1.228544	1.7133335	1.74	1.686667	0.0
360.5166	1.457	FoodChoice	0.33999999999999986	1.6144479999999999	1.443333	1.613333	1.273333	0.0
371.5166	1.457	FoodChoice	0.0066669999999999785	1.618477	0.9966665	1.0	0.993333	1.0
377.5166	1.457	FoodChoice	-0.546667	1.372409	1.1866664999999998	0.913333	1.46	0.0
383.5165	1.457	FoodChoice	-0.6399999999999999	1.681511	1.293333	0.973333	1.613333	1.0
393.0165	1.457	FoodChoice	-0.15333299999999994	0.75953	1.5366665	1.46	1.613333	0.0
397.0166	1.457	FoodChoice	0.5599999999999999	1.3154379999999999	0.9466669999999999	1.226667	0.666667	1.0
401.0165	1.457	FoodChoice	-0.433334	2.721523	0.6499999999999999	0.43333299999999997	0.866667	0.0
405.5166	1.457	FoodChoice	0.2066669999999997	1.0874549999999998	1.8633335	1.9666669999999997	1.76	1.0
410.0167	1.457	FoodChoice	-0.56	0.9583790000000001	1.22	0.94	1.5	0.0
