onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016752	1.255	Hit	3.8666669999999996	1.8459999999999999	1	1	0.0
6.516793	1.255	CorrectRejection	n/a	0.955	1	0	1.0
15.01675	1.255	CorrectRejection	n/a	1.032	1	0	1.0
20.01667	1.255	Hit	6.222222	1.1740000000000002	1	1	0.0
25.51685	1.255	Hit	5.844444	1.39	1	1	0.0
29.51685	1.255	Hit	4.044444	1.239	1	1	0.0
34.5168	1.255	FalseAlarm	n/a	1.124	1	0	0.0
39.51679	1.255	CorrectRejection	n/a	2.115	1	0	1.0
46.01675	1.255	Hit	3.8	1.115	1	1	0.0
50.016729999999995	1.255	Hit	4.911111	1.389	1	1	0.0
54.01685	3.0	Missed	5.933333	n/a	1	1	n/a
58.51685	1.255	CorrectRejection	n/a	0.925	1	0	1.0
62.51685	1.255	Hit	6.622222	0.853	1	1	0.0
66.51685	1.255	Miss	5.4222220000000005	1.203	1	1	1.0
79.51680999999999	1.255	CorrectRejection	n/a	1.026	1	0	1.0
84.01685	1.255	CorrectRejection	n/a	0.747	1	0	1.0
94.01669	1.255	Hit	5.688889	1.837	1	1	0.0
99.51685	1.255	Hit	4.933333	1.328	1	1	0.0
104.0168	1.255	CorrectRejection	n/a	0.728	1	0	1.0
110.0168	1.255	CorrectRejection	n/a	1.675	1	0	1.0
115.5167	1.255	FalseAlarm	n/a	1.2590000000000001	1	0	0.0
124.5167	1.255	Hit	4.866667	1.151	1	1	0.0
128.5167	1.255	CorrectRejection	n/a	1.4280000000000002	1	0	1.0
136.0167	1.255	Hit	5.822222	1.136	1	1	0.0
144.5168	1.255	CorrectRejection	n/a	1.033	1	0	1.0
151.0168	1.255	CorrectRejection	n/a	1.7530000000000001	1	0	1.0
157.5169	1.255	CorrectRejection	n/a	0.731	1	0	1.0
163.0168	1.255	Hit	3.5555559999999997	0.845	1	1	0.0
171.0168	1.255	CorrectRejection	n/a	1.479	1	0	1.0
177.5168	1.255	Hit	7.355556	0.971	1	1	0.0
182.0168	1.255	Hit	4.733333	1.161	1	1	0.0
188.5168	1.255	CorrectRejection	n/a	1.0859999999999999	1	0	1.0
194.0168	1.255	CorrectRejection	n/a	1.15	1	0	1.0
204.0168	1.255	CorrectRejection	n/a	1.7109999999999999	1	0	1.0
210.5168	1.255	Miss	5.0	1.761	1	1	1.0
216.5168	1.255	Hit	6.066667	1.18	1	1	0.0
224.0167	1.255	CorrectRejection	n/a	1.107	1	0	1.0
234.0168	1.255	CorrectRejection	n/a	1.38	1	0	1.0
240.0168	1.255	Hit	4.977778	1.214	1	1	0.0
244.5168	1.255	Hit	6.4	1.205	1	1	0.0
251.0168	1.255	Hit	6.888889	1.15	1	1	0.0
255.0168	1.255	Hit	4.866667	0.7040000000000001	1	1	0.0
262.0168	1.255	Hit	6.266667	0.6940000000000001	1	1	0.0
268.0167	1.255	CorrectRejection	n/a	1.272	1	0	1.0
272.0167	1.255	CorrectRejection	n/a	1.278	1	0	1.0
277.0167	1.255	CorrectRejection	n/a	2.049	1	0	1.0
281.0167	1.255	CorrectRejection	n/a	1.16	1	0	1.0
286.5168	1.255	Hit	5.555556	1.141	1	1	0.0
292.0167	1.255	Hit	5.355556	1.024	1	1	0.0
296.0167	1.255	Hit	4.844444	2.522	1	1	0.0
