onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016604	1.255	Hit	7.444444	1.63	1	1	0.0
7.016665	1.255	CorrectRejection	n/a	1.446	1	0	1.0
12.51656	1.255	CorrectRejection	n/a	0.92	1	0	1.0
17.51654	1.255	CorrectRejection	n/a	0.797	1	0	1.0
26.0167	1.255	Hit	4.911111	1.005	1	1	0.0
32.0166	1.255	Hit	6.177778	1.256	1	1	0.0
37.5166	1.255	CorrectRejection	n/a	1.119	1	0	1.0
43.01667	1.255	Hit	4.911111	1.859	1	1	0.0
51.0167	1.255	Hit	5.733333	1.314	1	1	0.0
57.516659999999995	1.255	CorrectRejection	n/a	1.71	1	0	1.0
63.51667	1.255	Hit	5.8	1.5330000000000001	1	1	0.0
71.0167	1.255	Hit	5.4222220000000005	1.4069999999999998	1	1	0.0
75.51666999999999	1.255	Hit	4.955556	1.8980000000000001	1	1	0.0
88.5166	1.255	Hit	7.933333	1.401	1	1	0.0
94.5167	1.255	Hit	8.044444	1.46	1	1	0.0
101.5166	1.255	CorrectRejection	n/a	1.051	1	0	1.0
106.0167	1.255	CorrectRejection	n/a	0.887	1	0	1.0
116.0166	1.255	Hit	6.955556	1.155	1	1	0.0
120.0165	1.255	CorrectRejection	n/a	1.8530000000000002	1	0	1.0
126.5165	1.255	Hit	8.711111	1.189	1	1	0.0
131.0165	1.255	CorrectRejection	n/a	1.459	1	0	1.0
141.0166	1.255	CorrectRejection	n/a	1.4409999999999998	1	0	1.0
145.0166	1.255	Hit	5.2	1.254	1	1	0.0
151.5167	1.255	CorrectRejection	n/a	1.71	1	0	1.0
157.0166	1.255	Hit	8.977778	1.113	1	1	0.0
164.5166	1.255	CorrectRejection	n/a	2.2569999999999997	1	0	1.0
169.0167	1.255	CorrectRejection	n/a	1.587	1	0	1.0
173.0167	1.255	CorrectRejection	n/a	1.45	1	0	1.0
177.0166	1.255	Hit	5.644444	1.933	1	1	0.0
186.0165	1.255	Hit	7.977778	1.371	1	1	0.0
192.5166	1.255	Hit	6.955556	1.2790000000000001	1	1	0.0
196.5166	1.255	CorrectRejection	n/a	2.336	1	0	1.0
200.5167	1.255	Hit	4.4	1.1440000000000001	1	1	0.0
207.0166	1.255	Hit	8.777778	1.045	1	1	0.0
211.0167	1.255	Hit	0.044444	1.3130000000000002	1	1	0.0
215.0167	1.255	Hit	5.733333	1.4809999999999999	1	1	0.0
220.0167	1.255	CorrectRejection	n/a	1.018	1	0	1.0
228.5167	1.255	CorrectRejection	n/a	1.149	1	0	1.0
232.5166	1.255	CorrectRejection	n/a	1.36	1	0	1.0
236.5167	1.255	Hit	7.5777779999999995	1.367	1	1	0.0
246.5167	1.255	Hit	6.0	1.04	1	1	0.0
252.0166	1.255	CorrectRejection	n/a	0.889	1	0	1.0
257.5165	1.255	CorrectRejection	n/a	0.963	1	0	1.0
262.0166	1.255	CorrectRejection	n/a	1.1320000000000001	1	0	1.0
268.5166	1.255	CorrectRejection	n/a	1.284	1	0	1.0
273.5166	1.255	CorrectRejection	n/a	0.951	1	0	1.0
278.0166	1.255	CorrectRejection	n/a	1.133	1	0	1.0
284.0165	1.255	Hit	5.8	1.1420000000000001	1	1	0.0
290.5166	1.255	Hit	6.444444	1.662	1	1	0.0
296.0165	1.255	Hit	6.822222	1.141	1	1	0.0
