onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.049998	1.064	ColorDots	-0.25	1.6390209999999998	1	1.0
5.633407	1.064	ColorDots	2.0	0.630627	1	0.0
11.216731	1.064	ColorDots	0.5	1.172282	1	0.0
19.300072	1.064	ColorDots	-0.5	0.92599	1	1.0
27.383426	1.064	ColorDots	2.0	0.647617	1	0.0
31.466699	1.064	ColorDots	0.125	0.968377	1	1.0
42.050084999999996	1.064	ColorDots	0.25	0.907985	1	0.0
47.133387	1.064	ColorDots	0.5	0.768666	1	0.0
53.200120999999996	1.064	ColorDots	1.0	0.953916	1	0.0
59.266612	1.064	ColorDots	-0.25	1.219388	1	1.0
63.333470999999996	1.064	ColorDots	0.0	1.708563	1	0.0
72.916677	1.064	ColorDots	0.25	1.447279	1	0.0
80.50000899999999	1.064	ColorDots	0.5	1.127972	1	0.0
86.083331	1.064	ColorDots	0.0	1.390673	1	0.0
92.166787	1.064	ColorDots	2.0	0.8841700000000001	1	0.0
99.233376	1.064	ColorDots	1.0	1.455658	1	0.0
107.816644	1.064	ColorDots	-0.5	1.998388	1	0.0
111.900123	1.064	ColorDots	0.5	1.629913	1	0.0
117.983429	1.064	ColorDots	0.25	1.6515819999999999	1	0.0
122.566799	1.064	ColorDots	0.5	1.0852600000000001	1	0.0
126.13341799999999	1.064	ColorDots	0.125	0.9286139999999999	1	1.0
129.71674099999998	1.064	ColorDots	1.0	1.1752129999999998	1	0.0
137.283415	1.064	ColorDots	0.0	1.847648	1	1.0
140.866796	2.5	Missed	0.25	n/a	1	n/a
146.466798	1.064	ColorDots	0.125	1.883304	1	0.0
155.050102	1.064	ColorDots	0.0	1.56396	1	1.0
158.633428	1.064	ColorDots	0.25	1.78657	1	0.0
163.21675	1.064	ColorDots	1.0	1.7642630000000001	1	0.0
166.800065	2.5	Missed	0.0	n/a	1	n/a
175.400059	1.064	ColorDots	0.0	1.3460020000000001	1	0.0
179.48342	1.064	ColorDots	0.25	0.986576	1	1.0
191.56671599999999	1.064	ColorDots	-0.25	1.68032	1	1.0
195.66674	1.064	ColorDots	0.5	1.297325	1	0.0
202.25007	1.064	ColorDots	-2.0	1.736993	1	1.0
207.833526	1.064	ColorDots	0.125	2.431531	1	1.0
211.416739	1.064	ColorDots	0.0	1.027325	1	1.0
215.00009500000002	1.064	ColorDots	0.0	1.945944	1	0.0
218.58337799999998	2.5	Missed	1.0	n/a	1	n/a
223.68342400000003	2.5	Missed	0.0	n/a	1	n/a
227.783428	2.5	Missed	-0.5	n/a	1	n/a
232.38337599999997	1.064	ColorDots	2.0	1.726582	1	0.0
238.46680800000001	1.064	ColorDots	2.0	1.074227	1	0.0
247.533374	1.064	ColorDots	0.0	1.182634	1	0.0
251.116806	1.064	ColorDots	-1.0	1.078168	1	1.0
255.200071	1.064	ColorDots	1.0	1.312991	1	0.0
259.283439	2.5	Missed	0.125	n/a	1	n/a
263.883429	1.064	ColorDots	-0.25	1.2476049999999999	1	0.0
270.46679900000004	1.064	ColorDots	-0.25	1.8302599999999998	1	0.0
276.033329	1.064	ColorDots	0.0	1.500616	1	0.0
281.099994	1.064	ColorDots	-1.0	0.97506	1	1.0
289.183421	2.5	Missed	2.0	n/a	1	n/a
293.783363	1.064	ColorDots	-0.25	0.769647	1	1.0
297.86681200000004	1.064	ColorDots	-0.25	1.2522149999999999	1	1.0
303.43336	1.064	ColorDots	0.5	1.9127009999999998	1	0.0
307.016664	1.064	ColorDots	-2.0	0.78328	1	1.0
314.099999	2.5	Missed	2.0	n/a	1	n/a
320.683329	1.064	ColorDots	0.5	1.425685	1	0.0
324.266682	1.064	ColorDots	0.125	1.9743529999999998	1	1.0
329.333375	1.064	ColorDots	0.0	1.1345690000000002	1	0.0
334.916658	2.5	Missed	1.0	n/a	1	n/a
340.516669	1.064	ColorDots	0.0	1.16935	1	1.0
344.600086	1.064	ColorDots	0.5	0.934924	1	0.0
350.149998	1.064	ColorDots	0.125	1.5930360000000001	1	0.0
353.73340299999995	2.5	Missed	-0.125	n/a	1	n/a
357.836035	2.5	Missed	0.125	n/a	1	n/a
365.433465	1.064	ColorDots	0.5	1.405594	1	0.0
373.000073	1.064	ColorDots	0.0	1.447991	1	1.0
378.583454	1.064	ColorDots	0.25	1.105489	1	0.0
382.666787	1.064	ColorDots	0.0	1.273175	1	0.0
392.733425	2.5	Missed	-0.125	n/a	1	n/a
