onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016572	1.255	FalseAlarm	n/a	1.521	1	0	0.0
6.516576000000001	1.255	CorrectRejection	n/a	1.23	1	0	1.0
10.51657	1.255	CorrectRejection	n/a	1.043	1	0	1.0
17.01652	1.255	CorrectRejection	n/a	0.97	1	0	1.0
25.01649	1.255	CorrectRejection	n/a	1.225	1	0	1.0
35.01662	1.255	Miss	7.622222	1.5419999999999998	1	1	1.0
39.01659	1.255	CorrectRejection	n/a	1.115	1	0	1.0
46.51651	1.255	Miss	5.0	0.9490000000000001	1	1	1.0
54.01651999999999	1.255	Hit	8.0	0.9990000000000001	1	1	0.0
58.516569999999994	1.255	CorrectRejection	n/a	0.95	1	0	1.0
63.016569999999994	1.255	Hit	9.111111	1.024	1	1	0.0
67.01649	1.255	Miss	4.955556	0.8640000000000001	1	1	1.0
73.01658	1.255	Miss	9.0	2.467	1	1	1.0
78.51658	1.255	Miss	6.177778	0.8740000000000001	1	1	1.0
91.51655	1.255	CorrectRejection	n/a	0.9279999999999999	1	0	1.0
96.01655	1.255	Miss	4.844444	0.825	1	1	1.0
102.5166	1.255	Hit	8.6	1.186	1	1	0.0
109.0166	1.255	Hit	0.8888889999999999	1.044	1	1	0.0
115.0166	1.255	CorrectRejection	n/a	0.888	1	0	1.0
125.0165	1.255	Miss	2.7555560000000003	1.406	1	1	1.0
131.5166	1.255	Hit	7.066667	2.322	1	1	0.0
137.0166	1.255	CorrectRejection	n/a	0.871	1	0	1.0
141.0166	1.255	CorrectRejection	n/a	1.472	1	0	1.0
146.5166	1.255	Hit	6.844444	1.14	1	1	0.0
153.0166	1.255	Miss	5.711111	0.9179999999999999	1	1	1.0
158.5166	3.0	Missed	n/a	n/a	1	0	n/a
163.0165	1.255	CorrectRejection	n/a	1.3330000000000002	1	0	1.0
171.5166	1.255	Miss	5.155556	1.5619999999999998	1	1	1.0
175.5166	1.255	Hit	0.777778	0.8190000000000001	1	1	0.0
182.0166	1.255	CorrectRejection	n/a	1.074	1	0	1.0
187.0165	1.255	CorrectRejection	n/a	0.9840000000000001	1	0	1.0
197.0166	1.255	Hit	0.4	0.92	1	1	0.0
201.0166	1.255	Hit	3.6	1.4169999999999998	1	1	0.0
206.0165	1.255	CorrectRejection	n/a	0.838	1	0	1.0
211.5165	1.255	CorrectRejection	n/a	1.149	1	0	1.0
217.5165	1.255	Hit	4.911111	1.008	1	1	0.0
223.0165	1.255	Miss	7.488889	1.1079999999999999	1	1	1.0
227.0166	1.255	Miss	1.6	0.696	1	1	1.0
236.0166	1.255	Miss	4.933333	0.875	1	1	1.0
241.0167	1.255	CorrectRejection	n/a	0.878	1	0	1.0
246.5166	1.255	Hit	2.888889	1.865	1	1	0.0
250.5165	1.255	CorrectRejection	n/a	0.94	1	0	1.0
254.5165	1.255	CorrectRejection	n/a	0.768	1	0	1.0
263.0165	1.255	CorrectRejection	n/a	1.517	1	0	1.0
269.0165	1.255	CorrectRejection	n/a	1.329	1	0	1.0
275.5166	1.255	CorrectRejection	n/a	0.787	1	0	1.0
282.5166	1.255	Hit	0.733333	1.11	1	1	0.0
287.0165	1.255	CorrectRejection	n/a	1.158	1	0	1.0
291.0166	1.255	Hit	1.6222219999999998	1.9169999999999998	1	1	0.0
296.0166	1.255	CorrectRejection	n/a	1.034	1	0	1.0
