onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0165509999999998	1.255	CorrectRejection	n/a	1.165	1	0	1.0
6.516541999999999	1.255	Miss	4.066667	1.042	1	1	1.0
12.01656	1.255	Miss	2.222222	1.528	1	1	1.0
18.51659	1.255	Hit	4.555556	1.2429999999999999	1	1	0.0
22.51655	1.255	Hit	0.377778	0.8640000000000001	1	1	0.0
26.51653	1.255	Hit	9.066667	0.946	1	1	0.0
32.01652	1.255	Hit	0.4	0.9309999999999999	1	1	0.0
36.01664	1.255	FalseAlarm	n/a	1.04	1	0	0.0
44.01662	1.255	Hit	1.9333330000000002	0.865	1	1	0.0
48.01657	1.255	CorrectRejection	n/a	1.5590000000000002	1	0	1.0
54.51656	1.255	CorrectRejection	n/a	1.023	1	0	1.0
58.51653	1.255	Hit	9.955556	0.78	1	1	0.0
63.51653	1.255	CorrectRejection	n/a	1.212	1	0	1.0
68.01653	1.255	CorrectRejection	n/a	1.048	1	0	1.0
74.51654	1.255	CorrectRejection	n/a	1.061	1	0	1.0
78.51655	1.255	CorrectRejection	n/a	1.43	1	0	1.0
83.01653	1.255	FalseAlarm	n/a	1.083	1	0	0.0
89.51653	1.255	CorrectRejection	n/a	1.561	1	0	1.0
95.51655	1.255	CorrectRejection	n/a	2.076	1	0	1.0
100.0165	1.255	Hit	2.066667	0.977	1	1	0.0
108.5166	1.255	CorrectRejection	n/a	1.0859999999999999	1	0	1.0
121.5166	1.255	Hit	2.2	0.92	1	1	0.0
131.5165	1.255	FalseAlarm	n/a	1.4609999999999999	1	0	0.0
137.0165	1.255	Hit	7.888889	0.759	1	1	0.0
143.5165	1.255	FalseAlarm	n/a	2.479	1	0	0.0
149.5165	1.255	Hit	0.333333	1.165	1	1	0.0
155.5166	1.255	FalseAlarm	n/a	1.69	1	0	0.0
159.5165	1.255	Hit	0.266667	0.731	1	1	0.0
164.5165	1.255	Hit	6.533333	1.111	1	1	0.0
168.5166	1.255	Hit	6.022222	0.818	1	1	0.0
174.0166	1.255	CorrectRejection	n/a	1.482	1	0	1.0
181.5165	1.255	Miss	1.7333330000000002	1.6769999999999998	1	1	1.0
188.5165	1.255	FalseAlarm	n/a	1.026	1	0	0.0
195.0166	1.255	Hit	3.511111	0.7659999999999999	1	1	0.0
200.5166	1.255	CorrectRejection	n/a	1.251	1	0	1.0
210.5166	1.255	Hit	5.511111	1.514	1	1	0.0
215.0165	1.255	FalseAlarm	n/a	0.779	1	0	0.0
222.5166	1.255	Hit	2.777778	1.8119999999999998	1	1	0.0
232.5165	1.255	Miss	2.6	1.56	1	1	1.0
241.0165	1.255	Miss	7.733333	1.675	1	1	1.0
246.0165	1.255	FalseAlarm	n/a	1.3030000000000002	1	0	0.0
251.0165	1.255	Hit	1.133333	1.886	1	1	0.0
257.0165	1.255	Hit	2.555556	1.885	1	1	0.0
262.5165	1.255	CorrectRejection	n/a	1.669	1	0	1.0
267.0165	1.255	Hit	2.977778	1.855	1	1	0.0
273.5165	1.255	CorrectRejection	n/a	1.168	1	0	1.0
279.0165	1.255	CorrectRejection	n/a	1.301	1	0	1.0
283.0165	1.255	Hit	0.533333	1.847	1	1	0.0
287.0165	1.255	CorrectRejection	n/a	0.902	1	0	1.0
296.0165	1.255	Hit	7.488889	0.946	1	1	0.0
