onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016634	1.255	Hit	0.44444399999999995	1.679	1	1	0.0
7.516646000000001	1.255	CorrectRejection	n/a	1.045	1	0	1.0
13.016680000000001	1.255	Hit	5.488889	0.799	1	1	0.0
19.51664	1.255	Hit	2.2444439999999997	1.046	1	1	0.0
24.51663	1.255	Hit	1.6444439999999998	0.662	1	1	0.0
29.016659999999998	1.255	FalseAlarm	n/a	0.8640000000000001	1	0	0.0
33.01665	1.255	CorrectRejection	n/a	0.802	1	0	1.0
40.51665	1.255	CorrectRejection	n/a	1.892	1	0	1.0
53.51665	1.255	Miss	2.266667	1.794	1	1	1.0
59.51665	1.255	Hit	2.066667	0.985	1	1	0.0
63.51665	1.255	CorrectRejection	n/a	2.119	1	0	1.0
67.51665	1.255	CorrectRejection	n/a	0.794	1	0	1.0
71.51663	1.255	Hit	1.511111	0.711	1	1	0.0
77.51665	1.255	CorrectRejection	n/a	1.012	1	0	1.0
83.01666	1.255	Hit	8.4	0.987	1	1	0.0
87.01666999999999	1.255	Hit	2.044444	0.983	1	1	0.0
92.01666	1.255	CorrectRejection	n/a	0.853	1	0	1.0
98.51664	1.255	CorrectRejection	n/a	2.26	1	0	1.0
103.5167	1.255	Miss	8.444444	1.021	1	1	1.0
113.5167	1.255	Hit	2.666667	1.0659999999999998	1	1	0.0
117.5166	1.255	CorrectRejection	n/a	1.429	1	0	1.0
127.5166	1.255	CorrectRejection	n/a	2.544	1	0	1.0
133.0166	1.255	Hit	2.422222	0.7490000000000001	1	1	0.0
137.5166	1.255	CorrectRejection	n/a	2.267	1	0	1.0
146.0166	1.255	Miss	0.088889	2.536	1	1	1.0
153.0167	1.255	Hit	2.311111	1.181	1	1	0.0
158.5166	1.255	Hit	2.2444439999999997	1.402	1	1	0.0
163.0166	1.255	CorrectRejection	n/a	0.785	1	0	1.0
169.0166	1.255	CorrectRejection	n/a	2.443	1	0	1.0
173.5167	1.255	CorrectRejection	n/a	1.814	1	0	1.0
181.5166	1.255	CorrectRejection	n/a	0.898	1	0	1.0
190.5166	1.255	Hit	2.0	0.775	1	1	0.0
197.0167	1.255	CorrectRejection	n/a	1.324	1	0	1.0
207.0167	1.255	CorrectRejection	n/a	0.838	1	0	1.0
213.5167	1.255	CorrectRejection	n/a	2.782	1	0	1.0
220.0166	1.255	CorrectRejection	n/a	2.701	1	0	1.0
224.5166	1.255	Hit	0.022222	1.09	1	1	0.0
228.5167	1.255	Hit	6.555556	0.9259999999999999	1	1	0.0
232.5167	1.255	Hit	3.2888889999999997	0.742	1	1	0.0
240.0166	1.255	CorrectRejection	n/a	1.686	1	0	1.0
244.5166	3.0	Missed	n/a	n/a	1	0	n/a
250.0166	1.255	Hit	8.955556	0.846	1	1	0.0
254.0166	1.255	CorrectRejection	n/a	1.3659999999999999	1	0	1.0
260.5167	1.255	FalseAlarm	n/a	1.3780000000000001	1	0	0.0
269.0167	1.255	Hit	7.066667	0.9420000000000001	1	1	0.0
273.0167	1.255	FalseAlarm	n/a	1.8159999999999998	1	0	0.0
278.0166	1.255	Hit	5.4	0.9309999999999999	1	1	0.0
283.5166	1.255	CorrectRejection	n/a	1.9040000000000001	1	0	1.0
290.0166	1.255	CorrectRejection	n/a	2.044	1	0	1.0
296.0167	1.255	Hit	5.511111	1.082	1	1	0.0
