onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.01667	1.255	FalseAlarm	n/a	2.015	1	0	0.0
7.516667	1.255	Hit	5.5777779999999995	0.9940000000000001	1	1	0.0
13.0166	1.255	FalseAlarm	n/a	1.671	1	0	0.0
19.5166	1.255	FalseAlarm	n/a	1.626	1	0	0.0
24.5166	1.255	CorrectRejection	n/a	1.069	1	0	1.0
29.01657	1.255	Hit	7.266667	0.8270000000000001	1	1	0.0
33.01658	1.255	CorrectRejection	n/a	1.663	1	0	1.0
40.51664	1.255	CorrectRejection	n/a	1.069	1	0	1.0
53.51665	1.255	Miss	2.733333	1.454	1	1	1.0
59.5167	1.255	FalseAlarm	n/a	0.7859999999999999	1	0	0.0
63.51665	1.255	CorrectRejection	n/a	1.67	1	0	1.0
67.5167	1.255	FalseAlarm	n/a	1.9769999999999999	1	0	0.0
71.51664	1.255	CorrectRejection	n/a	1.7630000000000001	1	0	1.0
77.51665	1.255	Hit	6.555556	1.8330000000000002	1	1	0.0
83.01665	1.255	Hit	6.266667	0.932	1	1	0.0
87.01665	1.255	FalseAlarm	n/a	1.165	1	0	0.0
92.01666999999999	1.255	FalseAlarm	n/a	1.133	1	0	0.0
98.51665	3.0	Missed	n/a	n/a	1	0	n/a
103.5166	1.255	Hit	7.4222220000000005	1.1640000000000001	1	1	0.0
113.5166	1.255	Hit	8.022222	1.183	1	1	0.0
117.5166	1.255	FalseAlarm	n/a	0.848	1	0	0.0
127.5166	1.255	Hit	6.0	1.237	1	1	0.0
133.0167	1.255	FalseAlarm	n/a	1.3730000000000002	1	0	0.0
137.5167	1.255	FalseAlarm	n/a	2.292	1	0	0.0
146.0166	1.255	FalseAlarm	n/a	1.6	1	0	0.0
153.0167	1.255	FalseAlarm	n/a	1.172	1	0	0.0
158.5166	1.255	CorrectRejection	n/a	1.037	1	0	1.0
163.0167	1.255	CorrectRejection	n/a	1.743	1	0	1.0
169.0166	1.255	FalseAlarm	n/a	0.878	1	0	0.0
173.5166	1.255	CorrectRejection	n/a	1.08	1	0	1.0
181.5166	1.255	Hit	2.1333330000000004	0.8690000000000001	1	1	0.0
190.5166	1.255	Hit	5.3333330000000005	0.812	1	1	0.0
197.0166	1.255	CorrectRejection	n/a	0.9840000000000001	1	0	1.0
207.0166	1.255	FalseAlarm	n/a	0.743	1	0	0.0
213.5166	1.255	CorrectRejection	n/a	1.645	1	0	1.0
220.0166	1.255	FalseAlarm	n/a	1.249	1	0	0.0
224.5166	1.255	FalseAlarm	n/a	1.507	1	0	0.0
228.5167	1.255	Hit	2.2444439999999997	0.882	1	1	0.0
232.5166	1.255	Hit	5.777778	0.831	1	1	0.0
240.0167	1.255	CorrectRejection	n/a	0.965	1	0	1.0
244.5166	1.255	Miss	4.844444	1.114	1	1	1.0
250.0167	1.255	Hit	4.8	1.4469999999999998	1	1	0.0
254.0167	1.255	FalseAlarm	n/a	0.7240000000000001	1	0	0.0
260.5167	1.255	Hit	3.044444	1.757	1	1	0.0
269.0167	1.255	FalseAlarm	n/a	1.591	1	0	0.0
273.0166	1.255	FalseAlarm	n/a	0.87	1	0	0.0
278.0166	1.255	Hit	6.044444	0.649	1	1	0.0
283.5167	1.255	CorrectRejection	n/a	0.993	1	0	1.0
290.0166	1.255	Hit	6.911111	0.917	1	1	0.0
296.0167	1.255	Miss	3.4	0.6970000000000001	1	1	1.0
