onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.0165490000000004	1.457	FoodChoice	0.9133330000000002	1.17183	2.4566665	2.913333	2.0	0.0
8.516535000000001	1.457	FoodChoice	0.020000000000000018	1.169845	1.063333	1.073333	1.053333	1.0
12.51652	1.457	FoodChoice	-0.03999999999999998	1.228885	0.5133329999999999	0.49333299999999997	0.533333	1.0
18.01653	1.457	FoodChoice	1.4466660000000002	1.3908530000000001	2.19	2.913333	1.466667	1.0
23.51654	1.457	FoodChoice	-0.493333	1.295859	1.2933335000000001	1.046667	1.54	0.0
30.01655	1.457	FoodChoice	0.78	1.389848	0.656667	1.046667	0.266667	1.0
35.51655	1.457	FoodChoice	0.17333299999999996	1.55284	0.4066665	0.49333299999999997	0.32	0.0
42.01654	1.457	FoodChoice	1.5066669999999998	0.801856	2.1333335	2.8866669999999996	1.38	1.0
46.016529999999996	1.457	FoodChoice	0.026666000000000523	1.402859	2.9	2.913333	2.8866669999999996	0.0
52.51656	1.457	FoodChoice	0.026666000000000523	0.7948390000000001	2.9	2.913333	2.8866669999999996	1.0
58.51655	1.457	FoodChoice	0.033332999999999946	1.160828	0.5766665	0.593333	0.56	1.0
64.51654	1.457	FoodChoice	-0.020000000000000018	1.388847	2.9233330000000004	2.913333	2.933333	0.0
68.51655	1.457	FoodChoice	0.353333	1.9158419999999998	0.3033335	0.48	0.126667	0.0
77.51655	1.457	FoodChoice	0.0	2.018834	0.08	0.08	0.08	0.0
83.51655	1.457	FoodChoice	0.006666000000000061	1.4848290000000002	1.05	1.053333	1.046667	1.0
88.01655	1.457	FoodChoice	0.0	2.235833	0.54	0.54	0.54	1.0
92.01654	1.457	FoodChoice	-0.3533329999999999	1.1828319999999999	1.2633334999999999	1.086667	1.44	0.0
97.51655	1.457	FoodChoice	-0.01333300000000004	1.623828	1.0066665000000001	1.0	1.013333	1.0
102.5165	1.457	FoodChoice	0.6533329999999999	1.3528639999999998	1.6933335	2.02	1.366667	1.0
107.5166	1.457	FoodChoice	-1.3733330000000001	1.006815	1.3133335	0.626667	2.0	0.0
116.0166	1.457	FoodChoice	0.04666600000000054	1.230796	2.91	2.933333	2.8866669999999996	0.0
122.5166	1.457	FoodChoice	0.006666000000000061	1.443848	1.05	1.053333	1.046667	0.0
126.5165	1.457	FoodChoice	0.41999999999999993	1.740863	0.323333	0.533333	0.11333299999999999	1.0
131.5166	1.457	FoodChoice	-0.03333299999999999	1.407794	0.09666649999999999	0.08	0.11333299999999999	1.0
136.5166	1.457	FoodChoice	1.9200000000000002	0.82584	1.9533330000000002	2.913333	0.993333	1.0
141.0165	1.457	FoodChoice	0.06000000000000005	0.873843	1.496667	1.526667	1.466667	0.0
146.5166	1.457	FoodChoice	-0.020000000000000018	0.9687629999999999	1.003333	0.993333	1.013333	1.0
152.5166	1.457	FoodChoice	-0.34666700000000006	0.9037729999999999	0.8266665	0.6533329999999999	1.0	0.0
156.5166	1.457	FoodChoice	-0.3066669999999998	1.9477689999999999	1.2266664999999999	1.073333	1.38	0.0
161.0165	1.457	FoodChoice	0.5533340000000001	1.1468450000000001	0.81	1.086667	0.533333	1.0
165.5166	1.457	FoodChoice	-0.040000000000000036	1.1578190000000002	0.573333	0.553333	0.593333	1.0
172.0165	1.457	FoodChoice	-0.0066669999999999785	1.576869	1.0166665	1.013333	1.02	0.0
181.0165	1.457	FoodChoice	-0.313334	1.24587	1.21	1.053333	1.366667	0.0
185.5165	1.457	FoodChoice	-0.013332999999999984	1.617841	0.4866665	0.48	0.49333299999999997	0.0
190.0165	1.457	FoodChoice	-0.973334	2.9288529999999997	1.04	0.553333	1.526667	1.0
200.5166	1.457	FoodChoice	0.0	1.0298370000000001	1.046667	1.046667	1.046667	1.0
205.5165	1.457	FoodChoice	-0.42000000000000004	0.918842	0.33	0.12	0.54	0.0
215.5166	1.457	FoodChoice	0.0	1.282836	1.013333	1.013333	1.013333	1.0
221.0165	1.457	FoodChoice	-0.213333	1.230842	0.3733335	0.266667	0.48	1.0
225.0166	1.457	FoodChoice	-0.986666	0.8638379999999999	0.52	0.026667000000000003	1.013333	0.0
