onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016707	1.255	Hit	0.666667	0.955	1	1	0.0
7.016674000000001	1.255	Miss	4.844444	1.361	1	1	1.0
12.51677	1.255	FalseAlarm	n/a	0.821	1	0	0.0
17.51675	1.255	Hit	2.3777779999999997	0.7509999999999999	1	1	0.0
26.0168	1.255	CorrectRejection	n/a	1.091	1	0	1.0
32.0168	1.255	Miss	1.022222	0.875	1	1	1.0
37.51675	1.255	CorrectRejection	n/a	1.244	1	0	1.0
43.0168	1.255	Miss	2.977778	1.043	1	1	1.0
51.01681	1.255	Hit	3.4444440000000003	0.76	1	1	0.0
57.516709999999996	1.255	Hit	2.3777779999999997	1.308	1	1	0.0
63.51665	1.255	Hit	2.0	0.894	1	1	0.0
71.01677	1.255	FalseAlarm	n/a	0.777	1	0	0.0
75.5168	1.255	CorrectRejection	n/a	1.114	1	0	1.0
88.51663	1.255	CorrectRejection	n/a	0.831	1	0	1.0
94.51677	1.255	FalseAlarm	n/a	0.8420000000000001	1	0	0.0
101.5167	1.255	CorrectRejection	n/a	1.0190000000000001	1	0	1.0
106.0168	1.255	CorrectRejection	n/a	0.9590000000000001	1	0	1.0
116.0168	1.255	Hit	2.7555560000000003	0.7490000000000001	1	1	0.0
120.0168	1.255	CorrectRejection	n/a	0.8009999999999999	1	0	1.0
126.5168	1.255	CorrectRejection	n/a	1.038	1	0	1.0
131.0168	1.255	CorrectRejection	n/a	0.835	1	0	1.0
141.0168	1.255	Miss	4.866667	0.963	1	1	1.0
145.0168	1.255	Hit	5.533333	1.123	1	1	0.0
151.5167	1.255	CorrectRejection	n/a	0.711	1	0	1.0
157.0167	1.255	Hit	3.733333	0.8590000000000001	1	1	0.0
164.5167	1.255	CorrectRejection	n/a	0.9309999999999999	1	0	1.0
169.0168	1.255	CorrectRejection	n/a	0.9690000000000001	1	0	1.0
173.0168	1.255	CorrectRejection	n/a	1.591	1	0	1.0
177.0167	1.255	CorrectRejection	n/a	0.973	1	0	1.0
186.0168	1.255	FalseAlarm	n/a	0.802	1	0	0.0
192.5167	1.255	FalseAlarm	n/a	0.9179999999999999	1	0	0.0
196.5168	1.255	CorrectRejection	n/a	0.765	1	0	1.0
200.5168	1.255	Hit	8.688889	0.807	1	1	0.0
207.0168	1.255	Hit	3.4444440000000003	0.9590000000000001	1	1	0.0
211.0167	1.255	Miss	3.688889	0.9209999999999999	1	1	1.0
215.0168	1.255	Hit	0.244444	0.894	1	1	0.0
220.0168	1.255	CorrectRejection	n/a	1.008	1	0	1.0
228.5166	1.255	Hit	4.844444	1.077	1	1	0.0
232.5167	1.255	FalseAlarm	n/a	0.8909999999999999	1	0	0.0
236.5168	1.255	Miss	1.8	1.4	1	1	1.0
246.5168	1.255	Hit	0.866667	1.128	1	1	0.0
252.0167	1.255	Hit	6.266667	0.903	1	1	0.0
257.5168	1.255	CorrectRejection	n/a	0.722	1	0	1.0
262.0168	1.255	CorrectRejection	n/a	0.87	1	0	1.0
268.5167	1.255	CorrectRejection	n/a	1.462	1	0	1.0
273.5168	1.255	FalseAlarm	n/a	1.249	1	0	0.0
278.0168	1.255	Hit	2.0	0.797	1	1	0.0
284.0168	1.255	Miss	1.2	1.043	1	1	1.0
290.5167	1.255	CorrectRejection	n/a	1.163	1	0	1.0
296.0168	1.255	CorrectRejection	n/a	0.865	1	0	1.0
