onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0165599999999997	1.255	FalseAlarm	n/a	1.026	0	0	1.0
6.516497	1.255	Hit	4.955556	1.518	0	1	1.0
10.5165	1.255	CorrectRejection	n/a	0.889	0	0	0.0
17.01651	1.255	Hit	6.4	1.065	0	1	1.0
25.01651	1.255	CorrectRejection	n/a	1.1840000000000002	0	0	0.0
35.01652	1.255	Hit	2.644444	0.748	0	1	1.0
39.01652	1.255	Hit	9.0	0.971	0	1	1.0
46.51652	1.255	Hit	5.3333330000000005	1.385	0	1	1.0
54.01651	1.255	CorrectRejection	n/a	2.469	0	0	0.0
58.51651	1.255	CorrectRejection	n/a	1.749	0	0	0.0
63.01651999999999	1.255	FalseAlarm	n/a	2.068	0	0	1.0
67.01656	1.255	CorrectRejection	n/a	1.26	0	0	0.0
73.01655	1.255	CorrectRejection	n/a	1.197	0	0	0.0
78.51656	1.255	CorrectRejection	n/a	0.807	0	0	0.0
91.51656	1.255	CorrectRejection	n/a	1.645	0	0	0.0
96.01652	1.255	Hit	5.5777779999999995	1.063	0	1	1.0
102.5165	1.255	Hit	8.044444	0.8109999999999999	0	1	1.0
109.0165	1.255	Hit	0.6888890000000001	1.081	0	1	1.0
115.0165	1.255	Hit	7.733333	0.7829999999999999	0	1	1.0
125.0165	1.255	Hit	4.688889	1.083	0	1	1.0
131.5165	1.255	Hit	6.844444	0.852	0	1	1.0
137.0165	1.255	FalseAlarm	n/a	1.867	0	0	1.0
141.0165	1.255	CorrectRejection	n/a	1.569	0	0	0.0
146.5165	1.255	Hit	6.6	1.96	0	1	1.0
153.0165	1.255	Hit	6.066667	1.065	0	1	1.0
158.5165	1.255	FalseAlarm	n/a	2.101	0	0	1.0
163.0165	1.255	CorrectRejection	n/a	0.977	0	0	0.0
171.5165	1.255	Hit	8.355556	0.868	0	1	1.0
175.5165	1.255	Hit	5.888889	1.146	0	1	1.0
182.0165	1.255	Hit	4.711111	1.62	0	1	1.0
187.0165	1.255	CorrectRejection	n/a	1.052	0	0	0.0
197.0165	1.255	Miss	6.711111	2.537	0	1	0.0
201.0165	1.255	Hit	9.133333	0.8809999999999999	0	1	1.0
206.0165	1.255	CorrectRejection	n/a	1.382	0	0	0.0
211.5165	1.255	Hit	9.911111	1.15	0	1	1.0
217.5165	3.0	Missed	n/a	n/a	0	0	n/a
223.0165	1.255	CorrectRejection	n/a	0.815	0	0	0.0
227.0165	1.255	CorrectRejection	n/a	0.885	0	0	0.0
236.0165	1.255	CorrectRejection	n/a	1.045	0	0	0.0
241.0165	1.255	Hit	9.311111	1.1159999999999999	0	1	1.0
246.5165	1.255	Hit	4.933333	1.238	0	1	1.0
250.5165	1.255	FalseAlarm	n/a	1.063	0	0	1.0
254.5165	1.255	Hit	4.6	0.623	0	1	1.0
263.0165	1.255	FalseAlarm	n/a	0.331	0	0	1.0
269.0165	1.255	Hit	5.955556	1.146	0	1	1.0
275.5165	1.255	Hit	0.8888889999999999	1.3980000000000001	0	1	1.0
282.5166	1.255	CorrectRejection	n/a	1.9469999999999998	0	0	0.0
287.0165	1.255	CorrectRejection	n/a	1.3090000000000002	0	0	0.0
291.0165	1.255	CorrectRejection	n/a	1.421	0	0	0.0
296.0165	1.255	CorrectRejection	n/a	1.175	0	0	0.0
