onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.016556	1.457	FoodChoice	0.22000000000000003	1.825759	0.376667	0.486667	0.266667	1.0
8.516617	1.457	FoodChoice	-0.006666000000000061	1.363681	1.47	1.466667	1.473333	0.0
14.016539999999999	1.457	FoodChoice	-0.019999999999999907	0.807768	0.5966670000000001	0.586667	0.606667	1.0
18.51655	1.457	FoodChoice	0.56	1.320762	1.34	1.62	1.06	1.0
28.516609999999996	1.457	FoodChoice	-0.15333300000000016	1.846702	1.5433335000000001	1.466667	1.62	0.0
33.01663	1.457	FoodChoice	0.6400000000000001	1.0626790000000002	1.78	2.1	1.46	1.0
42.51656	1.457	FoodChoice	0.32666700000000004	1.651752	0.6833335	0.8466670000000001	0.52	1.0
48.51656	1.457	FoodChoice	-0.01999999999999999	1.111758	0.216667	0.20666700000000002	0.226667	1.0
55.01654	1.457	FoodChoice	-0.693333	0.863758	0.5333335	0.186667	0.88	1.0
66.01664	1.457	FoodChoice	-0.04666600000000032	1.132674	1.77	1.7466669999999997	1.793333	1.0
75.0166	1.457	FoodChoice	0.0066669999999999785	1.187709	0.5166665	0.52	0.513333	1.0
83.51655	1.457	FoodChoice	-0.26	1.179767	1.9700000000000002	1.84	2.1	0.0
89.51664	1.457	FoodChoice	0.12	1.620678	0.16	0.22	0.1	1.0
94.01664	1.457	FoodChoice	-0.32666699999999993	1.188658	0.6766665000000001	0.513333	0.84	0.0
99.01664	1.457	FoodChoice	0.046665999999999985	1.2486700000000002	0.25	0.273333	0.226667	1.0
103.0166	1.457	FoodChoice	-0.7533329999999999	1.4816790000000002	0.5833335	0.20666700000000002	0.96	0.0
108.0167	1.457	FoodChoice	0.26	1.057641	0.896667	1.026667	0.766667	1.0
112.5166	1.457	FoodChoice	0.15333300000000016	1.510745	1.5433335000000001	1.62	1.466667	1.0
116.5167	1.457	FoodChoice	0.013333999999999957	1.950623	1.02	1.026667	1.013333	1.0
127.0166	1.457	FoodChoice	-0.14000000000000012	1.339709	1.55	1.48	1.62	0.0
132.0166	1.457	FoodChoice	0.0	0.993715	1.06	1.06	1.06	1.0
137.5166	1.457	FoodChoice	0.006666000000000061	0.929673	1.03	1.033333	1.026667	1.0
