onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.0165900000000003	1.255	Hit	5.644444	1.273	0	1	1.0
9.516534	1.255	Miss	6.466667	0.897	0	1	0.0
15.516520000000002	1.255	CorrectRejection	n/a	1.205	0	0	0.0
19.51651	1.255	Hit	8.133333	0.7979999999999999	0	1	1.0
26.01665	1.255	Hit	0.22222199999999998	0.8959999999999999	0	1	1.0
31.51665	1.255	Hit	9.866667	0.9890000000000001	0	1	1.0
40.51665	1.255	Hit	5.977778	0.889	0	1	1.0
46.0166	1.255	CorrectRejection	n/a	1.228	0	0	0.0
52.51665	1.255	Hit	6.177778	0.877	0	1	1.0
57.016630000000006	1.255	CorrectRejection	n/a	1.041	0	0	0.0
62.01659	1.255	Hit	0.355556	0.8190000000000001	0	1	1.0
66.01659000000001	1.255	Hit	0.155556	0.997	0	1	1.0
71.51665	1.255	Hit	6.0	1.149	0	1	1.0
76.01653	1.255	CorrectRejection	n/a	0.895	0	0	0.0
81.51665	1.255	CorrectRejection	n/a	0.899	0	0	0.0
91.51669	1.255	FalseAlarm	n/a	0.917	0	0	1.0
101.5167	1.255	Hit	8.666667	0.758	0	1	1.0
109.0166	1.255	FalseAlarm	n/a	0.6940000000000001	0	0	1.0
113.0166	1.255	CorrectRejection	n/a	0.875	0	0	0.0
118.5167	1.255	Miss	0.577778	1.117	0	1	0.0
123.5167	1.255	Miss	2.6222220000000003	0.966	0	1	0.0
129.5167	1.255	Hit	0.2	1.046	0	1	1.0
142.5166	1.255	FalseAlarm	n/a	0.7140000000000001	0	0	1.0
147.0167	1.255	Hit	9.866667	0.89	0	1	1.0
157.0166	1.255	Hit	9.4	1.069	0	1	1.0
162.0167	1.255	Hit	4.888889	1.147	0	1	1.0
168.5167	1.255	CorrectRejection	n/a	1.376	0	0	0.0
172.5166	1.255	CorrectRejection	n/a	0.902	0	0	0.0
179.5167	1.255	CorrectRejection	n/a	0.9109999999999999	0	0	0.0
185.5167	1.255	CorrectRejection	n/a	0.9079999999999999	0	0	0.0
189.5167	1.255	Hit	9.555556	0.8270000000000001	0	1	1.0
194.0166	1.255	CorrectRejection	n/a	1.252	0	0	0.0
198.0167	1.255	FalseAlarm	n/a	1.048	0	0	1.0
204.5167	1.255	CorrectRejection	n/a	1.014	0	0	0.0
210.5166	1.255	Hit	9.155555999999999	0.722	0	1	1.0
217.0167	1.255	Hit	6.377778	1.113	0	1	1.0
222.5166	1.255	Hit	5.044444	0.856	0	1	1.0
226.5167	1.255	Hit	0.266667	1.023	0	1	1.0
230.5166	1.255	Hit	0.355556	0.865	0	1	1.0
234.5166	1.255	CorrectRejection	n/a	0.9520000000000001	0	0	0.0
238.5167	1.255	Hit	4.955556	0.9390000000000001	0	1	1.0
247.0167	1.255	Hit	9.533333	0.753	0	1	1.0
251.5166	1.255	Hit	5.3333330000000005	1.0979999999999999	0	1	1.0
260.0166	1.255	FalseAlarm	n/a	1.454	0	0	1.0
268.0167	1.255	Hit	4.844444	0.69	0	1	1.0
273.0167	1.255	Hit	7.888889	0.8809999999999999	0	1	1.0
279.5167	1.255	Miss	0.13333299999999998	1.207	0	1	0.0
284.0166	1.255	CorrectRejection	n/a	0.885	0	0	0.0
290.5167	1.255	Miss	1.088889	0.898	0	1	0.0
296.0166	1.255	CorrectRejection	n/a	1.051	0	0	0.0
