onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016691	1.255	Hit	0.377778	1.079	0	1	1.0
12.01673	1.255	Hit	1.6	1.0959999999999999	0	1	1.0
17.51657	1.255	Hit	3.888889	0.85	0	1	1.0
25.01665	1.255	Miss	6.511111	1.3219999999999998	0	1	0.0
29.01656	1.255	CorrectRejection	n/a	1.15	0	0	0.0
35.016690000000004	1.255	Hit	3.844444	0.971	0	1	1.0
40.01664	1.255	Miss	3.222222	1.841	0	1	0.0
46.516709999999996	1.255	Hit	5.644444	1.062	0	1	1.0
50.51675	1.255	CorrectRejection	n/a	1.994	0	0	0.0
54.51675	1.255	CorrectRejection	n/a	0.99	0	0	0.0
60.01668000000001	1.255	Hit	8.266667	0.889	0	1	1.0
64.01666	1.255	CorrectRejection	n/a	1.063	0	0	0.0
70.51656	1.255	Hit	3.7111110000000003	1.005	0	1	1.0
74.51661	1.255	Hit	2.6	1.042	0	1	1.0
81.01663	1.255	Hit	5.866667	1.0390000000000001	0	1	1.0
91.01669	1.255	Hit	4.933333	0.8290000000000001	0	1	1.0
101.0167	1.255	CorrectRejection	n/a	1.15	0	0	0.0
106.0167	1.255	CorrectRejection	n/a	1.578	0	0	0.0
110.5167	1.255	Miss	7.866667	1.485	0	1	0.0
123.5166	1.255	Hit	3.2888889999999997	1.693	0	1	1.0
128.0166	1.255	CorrectRejection	n/a	1.113	0	0	0.0
137.0166	1.255	Hit	2.933333	1.861	0	1	1.0
143.5167	1.255	Hit	2.644444	0.894	0	1	1.0
148.0167	1.255	Hit	9.844444000000001	1.103	0	1	1.0
153.0167	1.255	Miss	2.555556	1.67	0	1	0.0
157.0167	1.255	CorrectRejection	n/a	1.25	0	0	0.0
162.5167	1.255	Hit	6.4222220000000005	2.5140000000000002	0	1	1.0
169.0167	1.255	CorrectRejection	n/a	0.8959999999999999	0	0	0.0
174.5167	1.255	CorrectRejection	n/a	1.102	0	0	0.0
180.0166	1.255	Hit	1.4	1.329	0	1	1.0
184.0166	1.255	Hit	5.222222	1.351	0	1	1.0
188.0166	1.255	CorrectRejection	n/a	1.735	0	0	0.0
196.0166	1.255	CorrectRejection	n/a	0.877	0	0	0.0
202.0166	1.255	CorrectRejection	n/a	1.75	0	0	0.0
210.5166	1.255	CorrectRejection	n/a	1.625	0	0	0.0
216.5167	1.255	Miss	6.044444	1.6480000000000001	0	1	0.0
223.5166	1.255	Hit	7.133333	1.4240000000000002	0	1	1.0
228.0166	1.255	CorrectRejection	n/a	1.5730000000000002	0	0	0.0
234.5166	3.0	Missed	6.266667	n/a	0	1	n/a
239.0166	1.255	Hit	5.155556	0.645	0	1	1.0
243.0166	1.255	Hit	3.222222	1.376	0	1	1.0
250.5166	1.255	CorrectRejection	n/a	1.4380000000000002	0	0	0.0
256.0166	1.255	Hit	1.8666669999999999	1.876	0	1	1.0
264.5166	1.255	CorrectRejection	n/a	1.271	0	0	0.0
269.5166	1.255	Hit	6.6666669999999995	1.723	0	1	1.0
275.0167	1.255	CorrectRejection	n/a	1.054	0	0	0.0
279.5167	3.0	Missed	n/a	n/a	0	0	n/a
285.5166	1.255	CorrectRejection	n/a	1.056	0	0	0.0
292.0166	1.255	CorrectRejection	n/a	1.382	0	0	0.0
296.0166	1.255	CorrectRejection	n/a	1.305	0	0	0.0
