onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.016603	1.457	FoodChoice	0.38666700000000004	1.075785	0.3733335	0.566667	0.18	1.0
6.516666000000001	1.457	FoodChoice	0.046665999999999874	1.200709	1.0699999999999998	1.0933329999999999	1.046667	1.0
11.516580000000001	1.457	FoodChoice	-0.03999999999999998	1.1238110000000001	0.48666699999999996	0.466667	0.506667	0.0
17.51657	1.457	FoodChoice	-0.11333399999999993	1.891818	0.69	0.633333	0.746667	1.0
23.51657	1.457	FoodChoice	-0.10666699999999996	1.112819	0.8333335	0.78	0.886667	1.0
30.016640000000002	1.457	FoodChoice	0.03333300000000006	1.39675	0.7633335	0.78	0.746667	1.0
36.01656	1.457	FoodChoice	0.0066669999999997565	2.29783	1.8233335	1.8266669999999998	1.82	0.0
40.01656	1.457	FoodChoice	-0.053333000000000075	1.013829	1.5733335	1.546667	1.6	1.0
45.01657	1.457	FoodChoice	0.01333300000000004	1.137828	0.7533335	0.76	0.746667	1.0
49.01661	1.457	FoodChoice	0.146667	1.047774	0.2133335	0.286667	0.14	1.0
55.016580000000005	1.457	FoodChoice	-0.41333299999999995	0.9258049999999999	1.2866665	1.08	1.493333	0.0
60.51656	1.457	FoodChoice	-0.10000000000000009	0.9788180000000001	1.443333	1.393333	1.493333	1.0
64.51657	1.457	FoodChoice	-1.033333	0.8278270000000001	0.6966665	0.18	1.213333	0.0
71.01656	1.457	FoodChoice	0.21999999999999997	0.6928270000000001	1.71	1.82	1.6	1.0
79.51657	1.457	FoodChoice	-0.11333399999999999	0.942818	0.44999999999999996	0.393333	0.506667	0.0
83.51657	1.457	FoodChoice	-0.026666999999999996	0.830823	1.2266664999999999	1.213333	1.24	1.0
87.51657	1.457	FoodChoice	0.41999999999999993	1.182818	2.67	2.88	2.46	1.0
92.51658	1.457	FoodChoice	0.966667	1.731812	1.1166665	1.6	0.633333	1.0
97.51655	1.457	FoodChoice	-0.10000000000000009	2.455841	1.49	1.44	1.54	1.0
101.5166	1.457	FoodChoice	-0.020000000000000018	0.7377560000000001	1.223333	1.213333	1.233333	1.0
108.0167	1.457	FoodChoice	-0.4133340000000001	0.796714	1.2999999999999998	1.0933329999999999	1.506667	1.0
112.5166	1.457	FoodChoice	0.013333000000000012	0.940853	0.1333335	0.14	0.126667	0.0
118.5166	1.457	FoodChoice	-0.21999999999999997	0.9748389999999999	1.1233330000000001	1.013333	1.233333	1.0
