onset	duration	TRIALTYPE	COHERENCE	RESPONSE_TIME	BUTTON_ORDER	CHOSE_RIGHT
2.050097	1.064	ColorDots	0.0	1.6165479999999999	2	0.0
11.63331	1.064	ColorDots	1.0	0.7962239999999999	2	1.0
20.216655	1.064	ColorDots	0.0	1.39999	2	1.0
23.800038	1.064	ColorDots	-0.5	1.076575	2	1.0
28.383376000000002	1.064	ColorDots	-1.0	0.756214	2	0.0
33.449979	1.064	ColorDots	-2.0	0.723643	2	0.0
37.033305	1.064	ColorDots	-0.125	1.1182459999999999	2	0.0
41.599957	1.064	ColorDots	-0.125	1.560663	2	0.0
47.166659	1.064	ColorDots	0.125	1.3799620000000001	2	0.0
50.749996	1.064	ColorDots	0.0	1.3356299999999999	2	0.0
58.333486	1.064	ColorDots	-0.25	1.774103	2	0.0
61.916706000000005	1.064	ColorDots	0.0	1.217789	2	0.0
68.500112	1.064	ColorDots	-0.5	1.1443729999999999	2	0.0
76.583463	1.064	ColorDots	0.25	1.098122	2	1.0
81.666664	1.064	ColorDots	0.5	1.3099040000000002	2	1.0
85.25004399999999	1.064	ColorDots	0.0	1.508523	2	1.0
92.333384	1.064	ColorDots	-0.25	1.150144	2	0.0
96.416652	1.064	ColorDots	0.0	0.924967	2	0.0
101.983478	1.064	ColorDots	0.5	0.744133	2	1.0
111.049986	1.064	ColorDots	0.25	1.271535	2	1.0
117.13343700000001	1.064	ColorDots	0.125	1.6631479999999998	2	1.0
121.20000300000001	1.064	ColorDots	0.0	1.370586	2	0.0
127.28348000000001	1.064	ColorDots	0.0	1.5581399999999999	2	1.0
133.866647	1.064	ColorDots	0.0	1.9929700000000001	2	1.0
141.949988	1.064	ColorDots	-2.0	0.765628	2	0.0
149.033479	1.064	ColorDots	0.25	1.246032	2	1.0
153.616657	1.064	ColorDots	-0.25	1.290858	2	0.0
157.20008700000002	1.064	ColorDots	-2.0	0.94442	2	0.0
163.283435	1.064	ColorDots	0.25	1.2991540000000001	2	1.0
170.86666499999998	1.064	ColorDots	0.25	1.371924	2	1.0
176.45011499999998	1.064	ColorDots	0.125	1.013474	2	1.0
180.533344	1.064	ColorDots	-1.0	0.850167	2	0.0
186.116732	1.064	ColorDots	0.0	1.344816	2	0.0
198.200106	1.064	ColorDots	1.0	1.1014469999999998	2	1.0
204.26668600000002	1.064	ColorDots	-0.125	1.8028849999999998	2	1.0
214.34996800000002	1.064	ColorDots	-2.0	1.302624	2	0.0
224.93343900000002	1.064	ColorDots	0.5	1.192178	2	1.0
228.51663100000002	1.064	ColorDots	0.0	1.2349299999999999	2	1.0
232.60010400000002	1.064	ColorDots	-1.0	0.682388	2	0.0
240.683379	1.064	ColorDots	0.0	1.334131	2	1.0
249.26665899999998	1.064	ColorDots	0.125	1.602894	2	1.0
253.350123	1.064	ColorDots	-0.5	0.783397	2	0.0
259.433316	1.064	ColorDots	0.25	1.1892719999999999	2	1.0
263.01669100000004	1.064	ColorDots	-1.0	0.69884	2	0.0
267.100022	1.064	ColorDots	-1.0	0.915565	2	0.0
274.683298	1.064	ColorDots	0.0	1.8322310000000002	2	0.0
278.76664500000004	1.064	ColorDots	1.0	0.759944	2	1.0
286.333285	1.064	ColorDots	1.0	1.211299	2	1.0
290.916646	1.064	ColorDots	-0.5	1.562942	2	0.0
294.999979	1.064	ColorDots	-1.0	1.192609	2	0.0
299.08419100000003	1.064	ColorDots	0.5	1.152347	2	1.0
302.666717	1.064	ColorDots	-2.0	0.910858	2	0.0
307.250047	1.064	ColorDots	0.125	1.528565	2	1.0
310.833512	1.064	ColorDots	0.25	1.318998	2	1.0
314.40011200000004	1.064	ColorDots	0.0	1.837391	2	1.0
319.96665299999995	1.064	ColorDots	-2.0	0.627934	2	0.0
325.549949	1.064	ColorDots	-0.125	1.442579	2	0.0
330.63331400000004	1.064	ColorDots	-0.5	1.181194	2	0.0
336.21671499999997	1.064	ColorDots	2.0	0.640901	2	1.0
339.800108	1.064	ColorDots	0.0	1.510509	2	0.0
346.383357	1.064	ColorDots	-2.0	1.294229	2	0.0
349.96665299999995	1.064	ColorDots	-0.125	1.121964	2	0.0
355.55010899999996	1.064	ColorDots	2.0	1.191481	2	1.0
364.116915	1.064	ColorDots	-0.5	1.572671	2	0.0
368.200099	1.064	ColorDots	1.0	1.0475139999999998	2	1.0
373.78348	1.064	ColorDots	-0.125	1.149138	2	0.0
377.86663	1.064	ColorDots	-2.0	0.9039	2	0.0
381.950107	1.064	ColorDots	-0.25	1.410485	2	1.0
387.533448	1.064	ColorDots	0.25	1.717036	2	1.0
391.11735	1.064	ColorDots	2.0	1.4092040000000001	2	1.0
