onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016531	1.255	FalseAlarm	n/a	2.049	0	0	1.0
6.516577	1.255	CorrectRejection	n/a	0.9640000000000001	0	0	0.0
10.51661	1.255	Hit	1.9777779999999998	1.725	0	1	1.0
17.01667	1.255	FalseAlarm	n/a	1.746	0	0	1.0
25.01654	1.255	CorrectRejection	n/a	1.4480000000000002	0	0	0.0
35.01667	1.255	Miss	1.2	1.665	0	1	0.0
39.01663	1.255	Hit	2.3777779999999997	0.976	0	1	1.0
46.51658	1.255	CorrectRejection	n/a	1.6469999999999998	0	0	0.0
54.016630000000006	1.255	Hit	1.266667	1.104	0	1	1.0
58.51667	1.255	CorrectRejection	n/a	1.093	0	0	0.0
63.01665	1.255	FalseAlarm	n/a	0.912	0	0	1.0
67.0165	1.255	Miss	1.0	0.7859999999999999	0	1	0.0
73.01663	1.255	CorrectRejection	n/a	1.024	0	0	0.0
78.51652	1.255	Miss	1.066667	1.149	0	1	0.0
91.51663	1.255	FalseAlarm	n/a	1.5519999999999998	0	0	1.0
96.01664	1.255	CorrectRejection	n/a	1.3980000000000001	0	0	0.0
102.5166	1.255	Miss	1.5777780000000001	0.9059999999999999	0	1	0.0
109.0166	1.255	Miss	1.911111	1.445	0	1	0.0
115.0165	1.255	Hit	2.7111110000000003	0.951	0	1	1.0
125.0166	1.255	Hit	6.777778	2.042	0	1	1.0
131.5165	1.255	FalseAlarm	n/a	1.143	0	0	1.0
137.0166	1.255	Miss	0.44444399999999995	1.167	0	1	0.0
141.0165	1.255	Miss	1.6	1.252	0	1	0.0
146.5167	1.255	Miss	0.42222200000000004	1.32	0	1	0.0
153.0166	1.255	FalseAlarm	n/a	1.9409999999999998	0	0	1.0
158.5166	1.255	CorrectRejection	n/a	0.919	0	0	0.0
163.0166	1.255	FalseAlarm	n/a	1.465	0	0	1.0
171.5166	1.255	Miss	1.4	1.4340000000000002	0	1	0.0
175.5167	1.255	Hit	1.9777779999999998	0.987	0	1	1.0
182.0165	1.255	Miss	1.4222219999999999	2.276	0	1	0.0
187.0166	1.255	CorrectRejection	n/a	1.222	0	0	0.0
197.0166	1.255	CorrectRejection	n/a	1.445	0	0	0.0
201.0166	1.255	CorrectRejection	n/a	1.476	0	0	0.0
206.0166	1.255	CorrectRejection	n/a	1.163	0	0	0.0
211.5166	1.255	CorrectRejection	n/a	1.955	0	0	0.0
217.5166	1.255	FalseAlarm	n/a	1.104	0	0	1.0
223.0166	1.255	Hit	2.666667	0.996	0	1	1.0
227.0165	1.255	Miss	1.4222219999999999	1.48	0	1	0.0
236.0166	1.255	CorrectRejection	n/a	2.866	0	0	0.0
241.0166	1.255	FalseAlarm	n/a	1.122	0	0	1.0
246.5167	1.255	Hit	7.044444	1.097	0	1	1.0
250.5166	1.255	CorrectRejection	n/a	1.431	0	0	0.0
254.5167	1.255	CorrectRejection	n/a	1.3	0	0	0.0
263.0167	1.255	Hit	0.866667	1.4980000000000002	0	1	1.0
269.0167	1.255	Hit	2.555556	1.235	0	1	1.0
275.5166	1.255	CorrectRejection	n/a	1.5519999999999998	0	0	0.0
282.5165	1.255	FalseAlarm	n/a	0.961	0	0	1.0
287.0166	1.255	Miss	1.7555560000000001	1.048	0	1	0.0
291.0166	1.255	Hit	4.977778	1.0190000000000001	0	1	1.0
296.0166	1.255	CorrectRejection	n/a	1.195	0	0	0.0
